IRAS Name,Common Name,12CO line (Jykm/s),line error,Log(MH2) (Larson),Merger State,source
F00085-1223,NGC 0034,126.0,3.6,NaN,M4,both
F00163-1039,MCG-02-01-051,60.9,2.9,NaN,M2,both
F00402-2349,NGC 0232,NaN,NaN,10.18,TM2,Larson
F01053-1746,IC 1623,469.2,1.9,10.51,M3,both
F01076-1707,MCG-03-04-014,96.0,1.2,10.34,amb,both
F01364-1042,F01364-1042,37.4,1.4,10.18,M3,both
F01484+2220,NGC 0695,NaN,NaN,10.44,m,Larson
F02114+0456,IC 0214,62.8,1.7,NaN,NaN,Herrero
F02208+4744,UGC 01845,208.0,2.5,NaN,NaN,Herrero
F02281-0309,NGC 0958,144.1,4.2,10.22,s,both
F02401-0013,NGC 1068,NaN,NaN,9.86,s,Larson
F02435+1253,UGC 02238,NaN,NaN,10.21,M4,Larson
F03359+1523,IRAS F03359,NaN,NaN,10.43,M3,Larson
F04191-1855,ESO 550-IG025,70.3,2.7,NaN,M2,both
F04315-0840,NGC 1614,NaN,NaN,10.09,m,Larson
F04326+1904,UGC 03094,130.9,2.8,NaN,NaN,Herrero
F05053-0805,NGC 1797,126.4,2.2,NaN,NaN,Herrero
F05187-1017,IRAS F05187-1017,62.0,0.6,NaN,NaN,Herrero
F05189-2524,IRAS F05189,31.0,0.5,10.43,M5,both
F06076-2139,IRAS F06076-2139,37.6,1.7,NaN,NaN,Herrero
F07062+2041,NGC 2341,105.0,2.3,NaN,NaN,Herrero
F07063+2043,NGC 2342,111.5,1.7,NaN,NaN,Herrero
07251-0248,IRAS F07251-0248,18.0,1.4,NaN,NaN,Herrero
F08354+2555,NGC 2623,NaN,NaN,9.83,M4,Larson
F08572+3915,IRAS F08572,NaN,NaN,9.84,M3,Larson
F09111-1007,IRAS F09111-1007,57.7,3.0,NaN,NaN,Herrero
F09126+4432,UGC 04881,NaN,NaN,10.52,M3,Larson
F09320+6134,UGC 05101,86.6,1.5,10.56,M4,both
F09437+0317,IC 0563-4,NaN,NaN,10.32,NaN,Larson
F10015-0614,NGC 3110,NaN,NaN,10.21,M1,Larson
F10173+0828,IRAS F10173,NaN,NaN,10.41,amb,Larson
F10565+2448,IRAS F10565,NaN,NaN,10.4,TM2,Larson
F11011+4107,MCG+07-23-019,NaN,NaN,10.24,M2,Larson
F11186-0242,CGCG 011-076,114.3,2.6,10.08,m,both
F11231+1456,IC 2810,NaN,NaN,10.32,M1,Larson
F11257+5850,NGC 3690,NaN,NaN,10.42,M3,Larson
F12112+0305,IRAS F12112,NaN,NaN,10.68,M3,Larson
F12224-0624,IRAS F12224,19.9,0.9,NaN,s,both
F12540+5708,UGC 08058,NaN,NaN,10.55,M4,Larson
F12592+0436,CGCG 043-099,72.8,1.3,NaN,NaN,Herrero
F13001-2339,ESO 507-G070,126.2,3.6,10.03,M3,both
F13126+2453,IC 0860,NaN,NaN,9.08,s,Larson
F13136+6223,VV 250a,NaN,NaN,10.19,M2,Larson
F13182+3424,UGC 08387,NaN,NaN,9.93,M4,Larson
F13188+0036,NGC 5104,131.6,2.9,9.95,s,both
F13229-2934,NGC 5135,NaN,NaN,10.12,s,Larson
F13301-2357,IC 4280,119.7,3.5,NaN,NaN,Herrero
F13362+4831,NGC 5256,NaN,NaN,10.21,M3,Larson
F13373+0105,NGC 5258,128.6,3.2,NaN,NaN,Herrero
F13428+5608,UGC 08696,NaN,NaN,10.33,M4,Larson
F13470+3530,UGC 08739,208.4,2.7,NaN,NaN,Herrero
F13497+0221,NGC 5331,119.7,2.5,NaN,NaN,Herrero
F14179+4927,CGCG 247-020,63.4,1.9,NaN,s,both
F14348-1447,IRAS F14348,53.0,2.8,10.84,M3,both
F15107+0724,CGCG 049-057,120.1,1.1,9.53,s,both
F15163+4255,VV 705,NaN,NaN,10.33,M3,Larson
F15250+3608,IRAS F15250,NaN,NaN,NaN,M4,Larson
F15276+1309,NGC 5936,155.8,1.7,NaN,NaN,Herrero
F15327+2340,UGC 09913,NaN,NaN,10.34,M4,Larson
F16104+5235,NGC 6090,NaN,NaN,10.21,M3,Larson
F16164-0746,IRAS F16164-0746,104.9,3.2,NaN,NaN,Herrero
F16284+0411,CGCG 052-037,100.5,1.3,NaN,s,both
F16399+0411,IRAS F16399-0937,99.0,2.5,NaN,NaN,Herrero
F16577+5900,NGC 6285 + NGC 6286,336.1,4.9,10.03,M@,both
F17132+5313,IRAS F17132,NaN,NaN,10.61,M3,Larson
F17138-1017,IRAS F17138-1017,174.7,2.8,NaN,NaN,Herrero
F17530+3447,UGC 11041,161.5,2.3,NaN,NaN,Herrero
F17548+2401,CGCG 141-034,53.3,2.6,NaN,NaN,Herrero
18090+0130,IRAS 18090+0130,113.1,2.0,NaN,NaN,Herrero
F18425+6036,NGC 6701,202.3,2.1,NaN,NaN,Herrero
F19120+7320,NGC 67860 + UGC 11415,136.0,4.4,NaN,NaN,Herrero
F19115-2124,ESO 593-IG008,112.5,2.5,NaN,NaN,Herrero
F20221-2458,NGC 6907,278.4,4.4,NaN,NaN,Herrero
21101+5810,IRAS 21101+5810,42.8,1.9,NaN,NaN,Herrero
F22287-1917,ESO 602-G025,134.4,2.0,NaN,s,both
F22389+3359,UGC 12150,77.3,2.7,NaN,NaN,Herrero
F22491-1808,IRAS F22491,19.5,0.6,10.49,M3,both
F23007+0836,NGC 7469,NaN,NaN,10.31,M2,Larson
F23024+1916,CGCG 453-062,60.4,3.0,NaN,s,both
F23135+2517,IC 5298,NaN,NaN,9.95,m,Larson
F23157-0441,NGC 7592,NaN,NaN,10.34,M3,Larson
F23254+0830,NGC 7674,NaN,NaN,10.12,M2,Larson
F23488+1949,NGC 7771,NaN,NaN,10.01,M2,Larson
