Scan:     82      F00073+2538 2010-05-16 +13 02 44.0
         OPTICAL                 Jy    
        km/s-BAR                 I
    5930.9693373544096175      0.1758970
    5926.2807771090674578      0.1038235
    5921.5923606685282721      0.0829066
    5916.9040880263319195      0.0937436
    5912.2159591756899317      0.0991379
    5907.5279741101448963      0.0994446
    5902.8401328229747378      0.1051232
    5898.1524353076547413      0.1068561
    5893.4648815575274057      0.1039722
    5888.7774715659370486      0.1005782
    5884.0902053262934714      0.0930483
    5879.4030828320737783      0.0938261
    5874.7161040764858626      0.1109080
    5870.0292690531414337      0.1266377
    5865.3425777551838110      0.1171543
    5860.6560301762210656      0.1165798
    5855.9696263095320319      0.1193351
    5851.2833661485246921      0.1192422
    5846.5972496865424546      0.1241154
    5841.9112769170633328      0.1277990
    5837.2254478334289161      0.1302119
    5832.5397624290499152      0.1295803
    5827.8542206972697386      0.1279470
    5823.1688226315636712      0.1347232
    5818.4835682252769402      0.1331782
    5813.7984574717502255      0.1332652
    5809.1134903644624501      0.1349778
    5804.4286668968215963      0.1355718
    5799.7439870621046794      0.1386772
    5795.0594508537888032      0.1374540
    5790.3750582652846788      0.1376881
    5785.6908092900002885      0.1377089
    5781.0067039212126474      0.1378975
    5776.3227421523988596      0.1399115
    5771.6389239770351196      0.1371038
    5766.9552493883302304      0.1382589
    5762.2717183798304177      0.1348400
    5757.5883309449409353      0.1404052
    5752.9050870769433459      0.1417952
    5748.2219867693775086      0.1395875
    5743.5390300155204386      0.1399155
    5738.8562168087837563      0.1388876
    5734.1735471426418371      0.1396055
    5729.4910210104380894      0.1402434
    5724.8086384056496172      0.1380421
    5720.1263993215543451      0.1378696
    5715.4443037516257391      0.1402515
    5710.7623516892763291      0.1406242
    5706.0805431279150071      0.1381997
    5701.3988780608842717      0.1411006
    5696.7173564815939244      0.1400357
    5692.0359783835228882      0.1385588
    5687.3547437600109333      0.1415871
    5682.6736526045369828      0.1416125
    5677.9927049103771424      0.1401859
    5673.3119006710057874      0.1403345
    5668.6312398799036600      0.1340131
    5663.9507225303432278      0.1369820
    5659.2703486158025044      0.1375997
    5654.5901181296922005      0.1389696
    5649.9100310653539054      0.1385734
    5645.2300874163320259      0.1389237
    5640.5502871758362744      0.1389669
    5635.8706303374756317      0.1374309
    5631.1911168945280224      0.1367775
    5626.5117468404687315      0.1353482
    5621.8325201687066510      0.1372796
    5617.1534368725879176      0.1375041
    5612.4744969455869068      0.1383161
    5607.7957003810470269      0.1351393
    5603.1170471724444724      0.1408229
    5598.4385373131899541      0.1366225
    5593.7601707966932736      0.1356821
    5589.0819476162978390      0.1387751
    5584.4038677654789353      0.1379534
