Scan:    106      F03582+6012 2010-05-22 +16 39 50.0
         OPTICAL                 Jy    
        km/s-BAR                 I
   10402.2008318152238644      0.0863327
   10397.3737658934733190      0.1279739
   10392.5468502013336547      0.1258961
   10387.7200847316798900      0.1262986
   10382.8934694775925891      0.1322191
   10378.0670044319467706      0.1407291
   10373.2406895878193609      0.1344489
   10368.4145249382218026      0.1473709
   10363.5885104760982358      0.1504416
   10358.7626461944564653      0.1508306
   10353.9369320863097528      0.1427652
   10349.1113681446022383      0.1493881
   10344.2859543623417267      0.1812076
   10339.4606907324759959      0.1722817
   10334.6355772480765154      0.1762114
   10329.8106139020255796      0.1921906
   10324.9858006874637795      0.1951957
   10320.1611375972697715      0.1971297
   10315.3366246245223010      0.2022369
   10310.5122617620945675      0.2035154
   10305.6880490030671353      0.2058688
   10300.8639863404459902      0.2090710
   10296.0400737672480318      0.2111149
   10291.2163112763446406      0.2140337
   10286.3926988608163811      0.2149173
   10281.5692365136728768      0.2168320
   10276.7459242278582678      0.2168230
   10271.9227619964458427      0.2197645
   10267.0997498123851983      0.2186578
   10262.2768876686168369      0.2217664
   10257.4541755582849873      0.2236665
   10252.6316134742683062      0.2232414
   10247.8092014095745981      0.2184242
   10242.9869393572826084      0.2213799
   10238.1648273103364772      0.2244597
   10233.3428652616785257      0.2242345
   10228.5210532043874991      0.2230232
   10223.6993911314712022      0.2208218
   10218.8778790359447157      0.2232859
   10214.0565169107467227      0.2237023
   10209.2353047489559685      0.2212292
   10204.4142425434511097      0.2215261
   10199.5933302873763751      0.2200835
   10194.7725679736740858      0.2214189
   10189.9519555953520467      0.2203496
   10185.1314931453598547      0.2239807
   10180.3111806168362818      0.2225958
   10175.4910180026618036      0.2207063
   10170.6710052959097084      0.2214532
   10165.8511424895277742      0.2227618
   10161.0314295765929273      0.2200140
   10156.2118665501111536      0.2213757
   10151.3924534030320501      0.2217152
   10146.5731901284270862      0.2225883
   10141.7540767191785562      0.2228708
   10136.9351131684925349      0.2220122
   10132.1162994692494976      0.2231522
   10127.2976356144572492      0.2220968
   10122.4791215971945348      0.2207890
   10117.6607574104054947      0.2228954
   10112.8425430470979336      0.2221214
   10108.0244785003524157      0.2194862
   10103.2065637631767459      0.2219956
   10098.3887988285168831      0.2220114
   10093.5711836894497537      0.2224119
   10088.7537183389140409      0.2233647
   10083.9364027699939470      0.2204355
   10079.1192369756954577      0.2220974
   10074.3022209489645320      0.2209869
   10069.4853546829453990      0.2240461
   10064.6686381705767417      0.2223947
   10059.8520714048754598      0.2241042
   10055.0356543788493582      0.2250792
   10050.2193870855080604      0.2215919
   10045.4032695179303118      0.2220003
   10040.5873016690566146      0.2233343
   10035.7714835319693520      0.2224232
   10030.9558150996090262      0.2238232
   10026.1402963651180471      0.2255913
   10021.3249273214423738      0.2202902
   10016.5097079615916300      0.2219496
   10011.6946382785754395      0.2221847
   10006.8797182654743665      0.2218194
   10002.0649479152289132      0.2207473
    9997.2503272209141869      0.2236608
    9992.4358561756125710      0.2216031
    9987.6215347721990838      0.2233600
    9982.8073630038143165      0.2219453
    9977.9933408634733496      0.2200439
    9973.1794683441858069      0.2209336
    9968.3657454388921906      0.2194911
    9963.5521721407385485      0.2218825
    9958.7387484427363233      0.2202272
    9953.9254743378260173      0.2218785
    9949.1123498190863756      0.2238245
    9944.2993748795961437      0.2223134
    9939.4865495122994616      0.2198338
    9934.6738737101350125      0.2214687
    9929.8613474663852685      0.2219955
    9925.0489707739234291      0.2226462
    9920.2367436258282396      0.2234223
    9915.4246660150456592      0.2219181
    9910.6127379346489761      0.2204135
    9905.8009593777169357      0.2189086
    9900.9893303372591618      0.2244149
    9896.1778508062889159      0.2250002
    9891.3665207778121840      0.2193932
    9886.5553402449095302      0.2201219
    9881.7443092005905783      0.2206924
    9876.9334276378649520      0.2222331
    9872.1226955498095776      0.2205490
    9867.3121129294358980      0.2211726
    9862.5016797698190203      0.2213992
    9857.6913960639067227      0.2201187
    9852.8812618048377772      0.2193509
