Scan:    106      F04191-1855 2010-05-15 +17 50 56.0
         OPTICAL                 Jy    
        km/s-BAR                 I
   11061.1525373487584147     -6.2915068
   11056.3049797357798525     -5.4603763
   11051.4575733093188319     -4.7380271
   11046.6103180623813387     -4.1009502
   11041.7632139879151509     -3.5463927
   11036.9162610787952872     -3.0431991
   11032.0694593279658875     -2.6092317
   11027.2228087284383946     -2.2434931
   11022.3763092730205244     -1.8993546
   11017.5299609547273576     -1.6063660
   11012.6837637663666101     -1.3633610
   11007.8377177009497245     -1.1439884
   11002.9918227515536273     -0.9475999
   10998.1460789108550671     -0.7907417
   10993.3004861719309702     -0.6528847
   10988.4550445276618120     -0.5338874
   10983.6097539710535784     -0.4275583
   10978.7646144949194422     -0.3395285
   10973.9196260923345108     -0.2679575
   10969.0747887561137759     -0.2056723
   10964.2301024791977397     -0.1550060
   10959.3855672546633286     -0.1089345
   10954.5411830752527749     -0.0725373
   10949.6969499341157643     -0.0442207
   10944.8528678239254077     -0.0219613
   10940.0089367378914176      0.0009061
   10935.1651566686923616      0.0148077
   10930.3215276095415902      0.0293823
   10925.4780495531103952      0.0351834
   10920.6347224925502815      0.0452427
   10915.7915464205962053      0.0488897
   10910.9485213303323690      0.0543555
   10906.1056472146992746      0.0591986
   10901.2629240665773978      0.0578119
   10896.4203518790400267      0.0593425
   10891.5779306447657291      0.0580729
   10886.7356603569642175      0.0590556
   10881.8935410083813622      0.0596199
   10877.0515725921595731      0.0617172
   10872.2097551010429015      0.0603061
   10867.3680885280446091      0.0592579
   10862.5265728661725007      0.0590893
   10857.6852081083015946      0.0623254
   10852.8439942473814881      0.0581838
   10848.0029312764163478      0.0577015
   10843.1620191882866493      0.0606110
   10838.3212579759383516      0.0555433
   10833.4806476323774405      0.0574180
   10828.6401881504843914      0.0608011
   10823.7998795232706470      0.0595572
   10818.9597217436075880      0.0576549
   10814.1197148045139329      0.0571806
   10809.2798586989247269      0.0586535
   10804.4401534197259025      0.0600027
   10799.6005989599871100      0.0558379
   10794.7611953125233413      0.0555162
   10789.9219424704133417      0.0599225
   10785.0828404264611891      0.0601367
   10780.2438891737492668      0.0592385
   10775.4050887051544123      0.0624772
   10770.5664390136844304      0.0612808
   10765.7279400922834611      0.0608371
   10760.8895919338337990      0.0595540
   10756.0513945314069133      0.0578165
   10751.2133478778159770      0.0582820
   10746.3754519662015809      0.0624162
   10741.5377067893132335      0.0586615
   10736.7001123402224039      0.0592034
   10731.8626686118113867      0.0597277
   10727.0253755972207728      0.0599112
   10722.1882332891273109      0.0588578
   10717.3512416806788679      0.0590044
   10712.5144007648796105      0.0605476
   10707.6777105344772281      0.0586004
   10702.8411709826177685      0.0586664
   10698.0047821021744312      0.0585688
   10693.1685438861586590      0.0601387
   10688.3324563274491084      0.0599352
   10683.4965194190554030      0.0598334
   10678.6607331539871666      0.0586444
   10673.8250975250557531      0.0596686
   10668.9896125254053914      0.0601169
   10664.1542781479110999      0.0591638
   10659.3190943855206569      0.0617108
   10654.4840612311745645      0.0591802
   10649.6491786779515678      0.0563232
   10644.8144467187303235      0.0563218
   10639.9798653464495146      0.0551773
   10635.1454345541242219      0.0557778
   10630.3111543347622501      0.0581285
   10625.4770246811767720      0.0589425
   10620.6430455864447140      0.0589986
   10615.8092170435738808      0.0579910
   10610.9755390453774453      0.0574439
   10606.1420115849959984      0.0593881
   10601.3086346553100157      0.0585507
   10596.4754082493291207      0.0632166
   10591.6423323599301511      0.0623245
   10586.8094069801900332      0.0611644
   10581.9766321029874234      0.0565643
   10577.1440077213283075      0.0588211
   10572.3115338282314042      0.0572495
   10567.4792104165644560      0.0589511
   10562.6470374794116651      0.0591516
   10557.8150150097117148      0.0596797
   10552.9831430004142021      0.0589829
   10548.1514214444596291      0.0590729
   10543.3198503348558006      0.0579760
   10538.4884296645504946      0.0587873
   10533.6571594266206375      0.0580309
   10528.8260396139412478      0.0599224
   10523.9950702194582846      0.0612728
   10519.1642512362486741      0.0601285
   10514.3335826572529186      0.0594967
   10509.5030644754206151      0.0595710
   10504.6726966836904467      0.0613774
   10499.8424792751429777      0.0580626
   10495.0124122426532267      0.0606877
   10490.1824955792981200      0.0619921
   10485.3527292779544950      0.0602733
   10480.5231133317029162      0.0594800
   10475.6936477334857045      0.0605032
   10470.8643324761778786      0.0587313
   10466.0351675529254862      0.0602144
   10461.2061529566053650      0.0585149
   10456.3772886802253197      0.0596537
   10451.5485747167331283      0.0580036
   10446.7200110592038982      0.0588700
   10441.8915977005162858      0.0593521
   10437.0633346337435796      0.0599442
   10432.2352218517680740      0.0580237
   10427.4072593476630573      0.0587415
   10422.5794471143726696      0.0582123
   10417.7517851448428701      0.0592248
   10412.9242734321487660      0.0588395
   10408.0969119691690139      0.0605072
   10403.2697007490460237      0.0604780
   10398.4426397645911493      0.0588603
   10393.6157290088813170      0.0586937
   10388.7889684749279695      0.0571502
   10383.9623581556061254      0.0592802
   10379.1358980439963489      0.0579466
   10374.3095881331046257      0.0580450
   10369.4834284158769151      0.0588448
   10364.6574188852591760      0.0602068
   10359.8315595343919995      0.0566757
   10355.0058503560176177      0.0572578
   10350.1802913434185029      0.0570674
   10345.3548824893368874      0.0588909
   10340.5296237869133620      0.0574179
   10335.7045152290284022      0.0589427
   10330.8795568087571155      0.0572006
   10326.0547485191764281      0.0581591
   10321.2300903530322103      0.0599873
   10316.4055823036014772      0.0612427
   10311.5812243636264611      0.0596080
   10306.7570165262513910      0.0564229
   10301.9329587844204070      0.0590594
   10297.1090511312086164      0.0592152
   10292.2852935594964947      0.0571269
   10287.4616860622936656      0.0598243
   10282.6382286326752364      0.0616773
   10277.8149212635871663      0.0610141
   10272.9917639480390790      0.0618597
   10268.1687566789751145      0.0610575
   10263.3458994495358638      0.0565754
   10258.5231922525381378      0.0582533
   10253.7006350811207085      0.0593250
   10248.8782279281622323      0.0590093
   10244.0559707868051191      0.0590314
   10239.2338636499298445      0.0602330
   10234.4119065106078779      0.0607062
   10229.5900993618579378      0.0597130
   10224.7684421965495858      0.0586126
   10219.9469350078288699      0.0593252
   10215.1255777886417491      0.0572166
   10210.3043705319960281      0.0598753
   10205.4833132309031498      0.0601627
   10200.6624058783763758      0.0600708
   10195.8416484673543891      0.0595901
   10191.0210409908504516      0.0602349
   10186.2005834420069732      0.0606276
   10181.3802758137026103      0.0601354
   10176.5601180989469867      0.0589175
   10171.7401102908152097      0.0572847
   10166.9202523822568764      0.0581738
   10162.1005443662779726      0.0588347
   10157.2809862358881219      0.0592478
   10152.4615779841005860      0.0596922
   10147.6423196039886534      0.0583557
   10142.8232110884364374      0.0602399
   10138.0042524305790721      0.0608557
   10133.1854436233661545      0.0579911
   10128.3667846598073083      0.0603471
   10123.5482755329103384      0.0573281
   10118.7299162356885063      0.0595092
   10113.9117067611514358      0.0601091
   10109.0936471023087506      0.0586248
   10104.2757372522391961      0.0593244
   10099.4579772038850933      0.0595200
   10094.6403669502560660      0.0592042
   10089.8229064843635570      0.0580400
   10085.0055957992863114      0.0599472
   10080.1884348880339530      0.0595430
   10075.3714237434815004      0.0594546
   10070.5545623588386661      0.0583829
   10065.7378507269204420      0.0605451
   10060.9212888410020241      0.0611238
   10056.1048766938256449      0.0622104
   10051.2886142786028358      0.0597655
   10046.4725015882777370      0.0570006
   10041.6565386157926696      0.0567158
   10036.8407253543591651      0.0567266
   10032.0250617968540610      0.0596626
   10027.2095479363542836      0.0586125
   10022.3941837657366705      0.0593667
   10017.5789692782800557      0.0596673
   10012.7639044667921553      0.0561871
   10007.9489893244208361      0.0563246
   10003.1342238440374786      0.0598896
    9998.3196080187899497      0.0596737
    9993.5051418416878732      0.0563952
    9988.6908253057408729      0.0570851
    9983.8766584040258749      0.0589706
    9979.0626411294215359      0.0597242
    9974.2487734750720847      0.0570692
    9969.4350554339835071      0.0604780
    9964.6214869991690648      0.0586886
    9959.8080681636402005      0.0559518
    9954.9947989204083569      0.0594285
    9950.1816792625468224      0.0581306
    9945.3687091830688587      0.0600935
    9940.5558886750495731      0.0607394
    9935.7432177313658030      0.0600803
    9930.9306963452308992      0.0612544
    9926.1183245095198799      0.0590258
    9921.3061022173787933      0.0609701
    9916.4940294617445034      0.0602713
    9911.6821062357703340      0.0595840
    9906.8703325323258468      0.0589090
    9902.0587083444934251      0.0588979
    9897.2472336654118408      0.0606268
    9892.4359084879615693      0.0589381
    9887.6247328053505043      0.0609006
    9882.8137066103936377      0.0621957
    9878.0028298963625275      0.0622790
    9873.1921026560721657      0.0641772
    9868.3815248827286268      0.0660686
    9863.5710965691450838      0.0723334
    9858.7608177086658543      0.0701722
    9853.9506882940331707      0.0733440
    9849.1407083184567455      0.0745103
    9844.3308777749480214      0.0772349
    9839.5211966564511386      0.0789537
    9834.7116649561758095      0.0832543
    9829.9022826670006907      0.0877062
