Scan:      8      F09320+6134 2010-05-20 +20 11 07.0
         OPTICAL                 Jy    
        km/s-BAR                 I
   13230.9556653660310985      0.0163848
   13226.0399224789362052      0.0241731
   13221.1243339837692474      0.0255101
   13216.2088998732797336      0.0287294
   13211.2936201402080769      0.0311433
   13206.3784947773638123      0.0297844
   13201.4635237772945402      0.0474296
   13196.5487071328116144      0.0550270
   13191.6340448367227509      0.0877994
   13186.7195368815737311      0.0881269
   13181.8051832602432114      0.0866003
   13176.8909839654716052      0.0975969
   13171.9769389899411181      0.1139812
   13167.0630483263266797      0.1263434
   13162.1493119675051275      0.1354644
   13157.2357299060222431      0.1432264
   13152.3223021347566828      0.1533622
   13147.4090286464488599      0.1642761
   13142.4959094337118586      0.1717361
   13137.5829444892915490      0.1786472
   13132.6701338060611306      0.1876028
   13127.7574773766336875      0.1924690
   13122.8449751937569090      0.1990829
   13117.9326272502348729      0.2031752
   13113.0204335387516039      0.2072070
   13108.1083940520475153      0.2109328
   13103.1965087828011747      0.2157117
   13098.2847777238876006      0.2179140
   13093.3732008679216960      0.2215298
   13088.4617782077111769      0.2229693
   13083.5505097360037325      0.2222691
   13078.6393954454724735      0.2242345
   13073.7284353288632701      0.2283565
   13068.8176293789892952      0.2283030
   13063.9069775885254785      0.2303263
   13058.9964799502176902      0.2306724
   13054.0861364568736462      0.2308592
   13049.1759471011064306      0.2345379
   13044.2659118757292163      0.2322316
   13039.3560307736152026      0.2316628
   13034.4463037873101712      0.2336212
   13029.5367309096254758      0.2370808
   13024.6273121333051677      0.2355687
   13019.7180474510914792      0.2347406
   13014.8089368557994021      0.2355790
   13009.8999803401020472      0.2357124
   13004.9911778967471037      0.2360257
   13000.0825295184113202      0.2344654
   12995.1740351979697152      0.2363866
   12990.2656949282336427      0.2347011
   12985.3575087016834004      0.2364696
   12980.4494765113267931      0.2352255
   12975.5415983497787238      0.2346085
   12970.6338742098432704      0.2355861
   12965.7263040842044575      0.2359049
   12960.8188879656700010      0.2342917
   12955.9116258469839522      0.2329424
   12951.0045177208266978      0.2343183
   12946.0975635801387398      0.2351612
   12941.1907634174640407      0.2368086
   12936.2841172256175923      0.2367382
   12931.3776249974052917      0.2361524
   12926.4712867255093443      0.2341117
   12921.5651024027374660      0.2357235
   12916.6590720218991919      0.2357644
   12911.7531955756094248      0.2348094
   12906.8474730566758808      0.2344580
   12901.9419044579117326      0.2329287
   12897.0364897719919099      0.2338487
   12892.1312289917295857      0.2338087
   12887.2261221097996895      0.2344935
   12882.3211691191499995      0.2347880
   12877.4163700123190210      0.2338641
   12872.5117247821890487      0.2365627
   12867.6072334215041337      0.2342923
   12862.7028959229410248      0.2351775
   12857.7987122793729213      0.2351037
   12852.8946824835493317      0.2337609
   12847.9908065281470044      0.2334648
   12843.0870844059754745      0.2341884
   12838.1835161098460958      0.2343354
   12833.2801016323701333      0.2362902
   12828.3768409664899082      0.2350209
   12823.4737341048821690      0.2344853
   12818.5707810402964242      0.2372079
   12813.6679817654712679      0.2353659
   12808.7653362733508402      0.2367328
   12803.8628445564190770      0.2346238
   12798.9605066076801450      0.2347014
   12794.0583224198126118      0.2340198
   12789.1562919854968641      0.2359270
   12784.2544152976061014      0.2369106
   12779.3526923488898319      0.2340612
   12774.4511231321539526      0.2351492
   12769.5497076400770311      0.2359744
   12764.6484458654067566      0.2352437
   12759.7473378010836313      0.2334953
   12754.8463834397171013      0.2351702
   12749.9455827741239773      0.2346880
   12745.0449357971083373      0.2351835
   12740.1444425014178705      0.2359419
   12735.2441028797293257      0.2334521
   12730.3439169249868428      0.2334525
   12725.4438846298689896      0.2344392
   12720.5440059871198173      0.2340700
   12715.6442809896125254      0.2328079
   12710.7447096299620171      0.2332096
   12705.8452919011142512      0.2355017
   12700.9460277957405197      0.2363632
   12696.0469173065903306      0.2370324
   12691.1479604265387024      0.2366654
   12686.2491571483315056      0.2352751
   12681.3505074647109723      0.2348608
   12676.4520113684193348      0.2348081
   12671.5536688523407065      0.2337157
   12666.6554799092118628      0.2358005
   12661.7574445317150094      0.2339452
   12656.8595627127251646      0.2340692
   12651.9618344450555014      0.2341045
   12647.0642597213791305      0.2346663
   12642.1668385345128627      0.2356718
   12637.2695708773298975      0.2340141
   12632.3724567425088026      0.2352805
   12627.4754961227918102      0.2352609
   12622.5786890111266985      0.2355919
   12617.6820354001229134      0.2352100
   12612.7855352825899899      0.2343706
   12607.8891886514720682      0.2351480
   12602.9929954993131105      0.2347156
   12598.0969558190590760      0.2356347
   12593.2010696035194997      0.2351682
   12588.3053368453729490      0.2341726
   12583.4097575373634754      0.2365866
   12578.5143316724970646      0.2357409
   12573.6190592433249549      0.2346622
   12568.7239402427203459      0.2365307
   12563.8289746634964104      0.2387162
   12558.9341624984590453      0.2360799
   12554.0395037402922753      0.2350103
   12549.1449983818692999      0.2368826
   12544.2506464160687756      0.2377903
   12539.3564478354346647      0.2362060
   12534.4624026329111075      0.2341903
   12529.5685108013749414      0.2353577
   12524.6747723334374314      0.2351054
   12519.7811872219099314      0.2353088
   12514.8877554597347626      0.2353307
   12509.9944770395923115      0.2344223
   12505.1013519542248105      0.2352968
   12500.2083801965763996      0.2356559
   12495.3155617593256466      0.2354476
   12490.4228966352111456      0.2349866
   12485.5303848172516155      0.2340467
   12480.6380262979891995      0.2330310
   12475.7458210703643999      0.2354953
   12470.8537691271885706      0.2366073
   12465.9618704611420981      0.2348384
   12461.0701250651000009      0.2345508
   12456.1785329318754521      0.2352129
   12451.2870940542761673      0.2343665
   12446.3958084249807143      0.2338648
   12441.5046760368677496      0.2345233
   12436.6136968828141107      0.2345622
   12431.7228709554292436      0.2351758
   12426.8321982476572884      0.2334218
   12421.9416787523787207      0.2350239
   12417.0513124621338648      0.2338318
   12412.1610993699378014      0.2345851
   12407.2710394685291249      0.2343318
   12402.3811327507210081      0.2343143
   12397.4913792092593212      0.2353794
   12392.6017788370190829      0.2339096
   12387.7123316267461632      0.2346284
   12382.8230375712500972      0.2336495
   12377.9338966634095414      0.2355236
   12373.0449088958994253      0.2344495
   12368.1560742616657080      0.2351739
   12363.2673927533851383      0.2344583
   12358.3788643640018563      0.2356007
   12353.4904890861944295      0.2332337
   12348.6022669128378766      0.2338437
   12343.7141978367471893      0.2333957
   12338.8262818506627809      0.2345119
   12333.9385189473941864      0.2342813
   12329.0509091198891838      0.2349927
   12324.1634523608245217      0.2342644
   12319.2761486630079162      0.2350233
   12314.3889980193853262      0.2335629
   12309.5020004225698358      0.2343450
   12304.6151558654364635      0.2342245
   12299.7284643409275304      0.2339570
   12294.8419258417234232      0.2342600
   12289.9555403606336768      0.2360991
   12285.0693078906006122      0.2358530
   12280.1832284243064350      0.2360080
   12275.2973019545588613      0.2345460
   12270.4115284742347285      0.2354522
   12265.5259079761435714      0.2348141
   12260.6404404530330794      0.2360552
   12255.7551258978455735      0.2357706
   12250.8699643033232860      0.2342186
   12245.9849556622139062      0.2346801
   12241.1000999673924525      0.2332724
   12236.2153972118030651      0.2339432
   12231.3308473880570091      0.2359430
   12226.4464504890311218      0.2369343
   12221.5622065076713625      0.2365941
   12216.6781154366526607      0.2374852
   12211.7941772687863704      0.2358525
   12206.9103919970839343      0.2362988
   12202.0267596140893147      0.2348456
   12197.1432801128121355      0.2337850
   12192.2599534860637505      0.2350840
   12187.3767797265882109      0.2356150
   12182.4937588271986897      0.2343809
   12177.6108907809011725      0.2348927
   12172.7281755802432599      0.2367685
   12167.8456132182327565      0.2366221
   12162.9632036876846541      0.2341102
   12158.0809469813393662      0.2354130
   12153.1988430920737301      0.2356709
   12148.3168920127027377      0.2356809
   12143.4350937361014076      0.2345351
   12138.5534482550119719      0.2354066
   12133.6719555623112683      0.2342526
   12128.7906156508834101      0.2348167
   12123.9094285133978701      0.2356169
   12119.0283941428024264      0.2346966
   12114.1475125319084327      0.2321949
   12109.2667836735254241      0.2332120
   12104.3862075604629354      0.2323588
   12099.5057841855996230      0.2331493
   12094.6255135417468409      0.2325605
   12089.7453956217141240      0.2307648
   12084.8654304183801287      0.2300102
   12079.9856179245525709      0.2303171
   12075.1059581330464425      0.2302274
   12070.2264510366694594      0.2299426
   12065.3470966283657617      0.2318415
   12060.4678949008139170      0.2310152
   12055.5888458469580655      0.2315002
   12050.7099494596077420      0.2302203
   12045.8312057315743004      0.2303356
   12040.9526146556672757      0.2299819
   12036.0741762248999294      0.2296292
   12031.1958904318835266      0.2309529
   12026.3177572694894479      0.2314824
   12021.4397767307327740      0.2323398
   12016.5619488082247699      0.2309919
   12011.6842734949750593      0.2302423
   12006.8067507837276935      0.2300260
   12001.9293806673613290      0.2318134
   11997.0521631386818626      0.2320643
   11992.1750981905715889      0.2319421
   11987.2981858157763781      0.2306282
   11982.4214260072330944      0.2314925
   11977.5448187578222132      0.2311327
   11972.6683640602914238      0.2307162
   11967.7920619074484421      0.2333012
   11962.9159122923010727      0.2323073
   11958.0399152074660378      0.2303354
   11953.1640706459493231      0.2309480
   11948.2883786006295850      0.2320212
   11943.4128390641853912      0.2328341
   11938.5374520296245464      0.2335343
   11933.6622174896274373      0.2345217
   11928.7871354372036876      0.2349690
   11923.9122058650973486      0.2351145
   11919.0374287661852577      0.2350353
   11914.1628041333460715      0.2352454
   11909.2883319593220222      0.2330872
   11904.4140122370590689      0.2326325
   11899.5398449594322301      0.2332225
   11894.6658301191873761      0.2351512
   11889.7919677092668280      0.2348859
   11884.9182577224182751      0.2340086
   11880.0447001515822194      0.2321049
   11875.1712949895663769      0.2318616
   11870.2980422292566800      0.2335241
   11865.4249418634572066      0.2320440
   11860.5519938849811297      0.2319911
   11855.6791982868362538      0.2313847
   11850.8065550617047847      0.2312506
   11845.9340642025272246      0.2307687
   11841.0617257021822297      0.2296861
   11836.1895395534775162      0.2308446
   11831.3175057492298947      0.2282412
   11826.4456242823762295      0.2276300
   11821.5738951457333314      0.2280331
   11816.7023183321744000      0.2262907
   11811.8308938345126080      0.2284608
   11806.9596216456884576      0.2304781
   11802.0885017583841545      0.2297015
   11797.2175341656748060      0.2295852
   11792.3467188603026443      0.2307060
   11787.4760558350790234      0.2295397
   11782.6055450830172049      0.2308308
   11777.7351865968594211      0.2318507
   11772.8649803694825096      0.2307729
   11767.9949263936996431      0.2309774
   11763.1250246625149884      0.2317388
   11758.2552751686143893      0.2311428
   11753.3856779050020123      0.2349862
   11748.5162328644910303      0.2326688
   11743.6469400399601000      0.2335032
   11738.7777994241514534      0.2351716
   11733.9088110101420170      0.2336753
   11729.0399747906103585      0.2338602
   11724.1712907585006178      0.2335135
   11719.3027589066223300      0.2357784
   11714.4343792279869376      0.2356798
   11709.5661517152693705      0.2354626
   11704.6980763614174066      0.2345695
   11699.8301531594388507      0.2348175
   11694.9623821019467869      0.2352203
   11690.0947631818835362      0.2339953
   11685.2272963923278439      0.2339413
   11680.3599817258200346      0.2325440
   11675.4928191754406726      0.2330397
   11670.6258087340665952      0.2354224
   11665.7589503944418539      0.2339360
   11660.8922441495105886      0.2356020
   11656.0256899922151206      0.2350828
   11651.1592879152340174      0.2362776
   11646.2930379115787218      0.2353508
   11641.4269399741260713      0.2356332
   11636.5609940957492654      0.2363202
   11631.6952002691996313      0.2356414
   11626.8295584874849737      0.2365502
   11621.9640687434130086      0.2354323
   11617.0987310299296951      0.2331790
   11612.2335453397790843      0.2338173
   11607.3685116659726191      0.2348883
