Scan:     90      F14348-1447 2010-05-25 +05 40 38.0
         OPTICAL                 Jy    
        km/s-BAR                 I
   26355.1244097891903948      0.0810747
   26349.7879653445052099      0.0784727
   26344.4516955274048087      0.0776447
   26339.1156003293144749      0.0857883
   26333.7796797415030596      0.0815118
   26328.4439337555195380      0.0783517
   26323.1083623628474015      0.0833277
   26317.7729655547591392      0.0839778
   26312.4377433228764858      0.0740935
   26307.1026956585337757      0.0764617
   26301.7678225530216878      0.0885794
   26296.4331239980783721      0.0893849
   26291.0985999849217478      0.0914290
   26285.7642505050316686      0.0901392
   26280.4300755498152284      0.0962169
   26275.0960751108214026      0.0950195
   26269.7622491793990775      0.0919328
   26264.4285977468935016      0.0973978
   26259.0951208049809793      0.0952099
   26253.7618183448757918      0.0985930
   26248.4286903580577928      0.1000745
   26243.0957368360759574      0.0999341
   26237.7629577703373798      0.0998944
   26232.4303531521218247      0.1000822
   26227.0979229731165105      0.1019019
   26221.7656672245939262      0.1022082
   26216.4335858979684417      0.1024233
   26211.1016789848508779      0.1004851
   26205.7699464765246375      0.1009716
   26200.4383883645314199      0.1012334
   26195.1070046402201115      0.1015353
   26189.7757952952051710      0.1024741
   26184.4447603206972417      0.1021460
   26179.1138997083071445      0.1013340
   26173.7832134495183709      0.0994527
   26168.4527015355415642      0.1012699
   26163.1223639581221505      0.1029938
   26157.7922007084707730      0.1014946
   26152.4622117781400448      0.1033979
   26147.1323971586061816      0.1034721
   26141.8027568412799155      0.1031581
   26136.4732908175101329      0.1003033
   26131.1439990789731382      0.1003455
   26125.8148816169523343      0.1000644
   26120.4859384228584531      0.1022523
   26115.1571694883714372      0.0988891
   26109.8285748047019297      0.0985374
   26104.5001543633989058      0.1007411
   26099.1719081559422193      0.1028734
   26093.8438361738080857      0.1005400
   26088.5159384082726319      0.1009655
   26083.1882148510267143      0.1035783
   26077.8606654934046674      0.0995254
   26072.5332903268317750      0.1023177
   26067.2060893429079442      0.1029835
   26061.8790625329165778      0.1011278
   26056.5522098884066509      0.1004045
   26051.2255314008543792      0.1021297
   26045.8990270616777707      0.1007148
   26040.5726968622875575      0.1005173
