Scan:      6      F18293-3413 2010-07-24 +05 17 56.0
         OPTICAL                 Jy    
        km/s-BAR                 I
    6820.0399102762894472      0.2383422
    6815.3235666047066843      0.1748708
    6810.6073680253366547      0.1651872
    6805.8913145317210365      0.1853284
    6801.1754061168730914      0.1867442
    6796.4596427742671949      0.2111513
    6791.7440244972467553      0.2346639
    6787.0285512789550921      0.2472126
    6782.3132231128702188      0.2285330
    6777.5980399922009383      0.2349697
    6772.8830019102233564      0.3056807
    6768.1681088603490934      0.3333454
    6763.4533608357869525      0.3780778
    6758.7387578300131281      0.3755532
    6754.0242998361063655      0.3820226
    6749.3099868474755567      0.4041061
    6744.5958188575295935      0.4213090
    6739.8817958594127049      0.4261525
    6735.1679178465356017      0.4401400
    6730.4541848122389638      0.4521554
    6725.7405967497361416      0.4663047
    6721.0271536524360272      0.4732554
    6716.3138555135474235      0.4802472
    6711.6007023264810414      0.4928251
    6706.8876940845138961      0.5013623
    6702.1748307809220933      0.4998896
    6697.4621124090499507      0.5005080
    6692.7495389622381481      0.5021856
    6688.0371104337664292      0.5024748
    6683.3248268169772928      0.5118892
    6678.6126881051468445      0.5106727
    6673.9006942916175831      0.5138293
    6669.1888453696674333      0.5177135
    6664.4771413327734990      0.5138311
    6659.7655821740117972      0.5184812
    6655.0541678868567033      0.5187970
    6650.3428984646552635      0.5198355
    6645.6317739005489784      0.5201635
    6640.9207941880140424      0.5219772
    6636.2099593203283803      0.5231649
    6631.4992692907671881      0.5243019
    6626.7887240927420862      0.5253606
    6622.0783237195282709      0.5232398
    6617.3680681644027572      0.5159841
    6612.6579574207098631      0.5170600
    6607.9479914817911776      0.5201919
    6603.2381703410574119      0.5201192
    6598.5284939916527946      0.5274003
    6593.8189624269853084      0.5258434
    6589.1095756404665735      0.5196171
    6584.4003336252399095      0.5220222
    6579.6912363747142081      0.5256067
    6574.9822838823001803      0.5218728
    6570.2734761412075386      0.5219295
    6565.5648131447806009      0.5219447
    6560.8562948863609563      0.5228670
    6556.1479213593593158      0.5201482
    6551.4396925569189989      0.5160983
    6546.7316084725162000      0.5176584
    6542.0236690994952369      0.5231189
    6537.3158744310640031      0.5207172
    6532.6082244606350287      0.5205107
    6527.9007191814844191      0.5185592
    6523.1933585869546732      0.5202439
    6518.4861426704555925      0.5189186
    6513.7790714251977988      0.5221020
    6509.0721448445910937      0.5199228
    6504.3653629219106733      0.5186510
    6499.6587256505681580      0.5176016
    6494.9522330238405630      0.5208573
    6490.2458850350030843      0.5209202
    6485.5396816775337356      0.5178825
    6480.8336229446413199      0.5215473
    6476.1277088297356386      0.5236128
    6471.4219393260273137      0.5191010
    6466.7163144270598423      0.5175599
    6462.0108341259756344      0.5228793
    6457.3054984161863104      0.5220783
    6452.6003072910334595      0.5198949
    6447.8952607438604900      0.5231472
    6443.1903587679444172      0.5243858
    6438.4856013566950423      0.5217923
    6433.7809885034566832      0.5225489
    6429.0765202014381430      0.5192085
    6424.3721964441165255      0.5237551
