Scan:     72      F03117+4151 2010-05-17 +20 20 59.0
         OPTICAL                 Jy    
        km/s-BAR                 I
        8384.000721286091    -0.07856118
        8379.236315364813    -0.06579878
        8374.472056756566    -0.07426514
        8369.707945454627    -0.07561813
        8364.943981452139    -0.06664977
        8360.180164742180    -0.06731520
        8355.416495318024    -0.06231104
        8350.652973172750    -0.05938049
        8345.889598299636    -0.05735175
        8341.126370691756    -0.07168227
        8336.363290342322    -0.05559485
        8331.600357244544    -0.03396805
        8326.837571391499    -0.02937536
        8322.074932776462    -0.02671764
        8317.312441392514    -0.02556112
        8312.550097232861    -0.02314709
        8307.787900290716    -0.02113600
        8303.025850559154    -0.01821029
        8298.263948031519    -0.01758459
        8293.502192700820    -0.01498892
        8288.740584560272    -0.01044206
        8283.979123603145   -0.008335764
        8279.217809822456   -0.006077528
        8274.456643211543   -0.004688378
        8269.695623763484   -0.002509944
        8264.934751471492   -0.002772908
        8260.174026328708   -0.002785641
        8255.413448328341  -0.0006349057
        8250.653017463539    0.002039395
        8245.892733727511   -0.002932186
        8241.132597113528   -0.002133958
        8236.372607614607   9.497321e-05
        8231.612765223957   0.0005334056
        8226.853069934785   0.0008807679
        8222.093521740304    0.001616206
        8217.334120633723    0.002187798
        8212.574866608120  -0.0007701598
        8207.815759656703    0.001184941
        8203.056799772750   -0.001131567
        8198.297986949339  -0.0001469607
        8193.539321179680   0.0009498987
        8188.780802456980  -0.0001674769
        8184.022430774387  -0.0004594913
        8179.264206125174    0.003121018
        8174.506128502421    0.001776957
        8169.748197899336  -0.0007651816
        8164.990414309131  -0.0007119838
        8160.232777725014  -8.449728e-05
        8155.475288140063   0.0008983504
        8150.717945547622  -1.667206e-05
        8145.960749940766   0.0003808543
        8141.203701312774   0.0007547306
        8136.446799656722   -0.001458294
        8131.690044965887  -0.0003942563
        8126.933437233411  -0.0009117270
        8122.176976452440   -0.001820728
        8117.420662616315   -0.001281924
        8112.664495718116    0.001267627
        8107.908475750983    0.001632101
        8103.152602708262    0.001373913
        8098.396876583029   0.0009868465
        8093.641297368493   -0.001093009
        8088.885865057865   -0.001295966
        8084.130579644423   -0.004344400
        8079.375441121177   -0.001447172
        8074.620449481467   -0.001600209
        8069.865604718376   0.0002248165
        8065.110906825175   0.0009661209
        8060.356355795077   -0.001557131
        8055.601951621226  -0.0009352746
        8050.847694296830  -0.0007728148
        8046.093583815101  -0.0007976316
        8041.339620169248  -4.346721e-05
        8036.585803352415    0.001159284
        8031.832133357812   0.0006348827
        8027.078610178651    0.001773650
        8022.325233808205  -0.0007631297
        8017.572004239553   -0.001545786
        8012.818921465972  -0.0009539552
        8008.065985480606   -0.002435800
        8003.313196276731   -0.002246035
        7998.560553847423    0.001102138
        7993.808058186028   0.0006368636
        7989.055709285686  -0.0006889260
        7984.303507139542   0.0009438519
        7979.551451740874   -0.001501293
        7974.799543082892   -0.001436025
        7970.047781158738  -0.0001780670
        7965.296165961622   0.0005054939
        7960.544697484823   0.0001970847
        7955.793375721482   0.0007497323
        7951.042200664811    0.001206608
        7946.291172308021   0.0005705872
        7941.540290644318   0.0009931144
        7936.789555666916   0.0008686712
        7932.038967369023    0.001662611
        7927.288525743851    0.001808379
        7922.538230784543    0.001059857
        7917.788082484374   0.0003844877
        7913.038080836556   0.0009447255
        7908.288225834232  -0.0002769693
        7903.538517470678   0.0003317987
        7898.788955739106   0.0006147580
        7894.039540632658    0.001398628
        7889.290272144611   0.0007874267
        7884.541150268108   0.0009587482
        7879.792174996494   0.0003215207
        7875.043346322777    0.001506348
        7870.294664240369   0.0001996148
        7865.546128742347    0.001166148
        7860.797739822053   0.0005128082
        7856.049497472563    0.001247250
        7851.301401687158    0.001507796
        7846.553452459043    0.002123613
        7841.805649781364   0.0004380159
        7837.057993647464    0.001335269
        7832.310484050555    0.002068552
        7827.563120983711    0.002023933
        7822.815904440277   0.0008884429
        7818.068834413395    0.002591871
        7813.321910896344   0.0002410458
        7808.575133882267  -5.431937e-05
        7803.828503364439    0.001701405
        7799.082019336071    0.001749058
        7794.335681790374    0.002566970
        7789.589490720624    0.002017633
        7784.843446119898    0.002002619
        7780.097547981539  -0.0003693922
        7775.351796298758   -0.002148017
        7770.606191064698  -0.0005268634
        7765.860732272768   0.0002651458
        7761.115419915914    0.001528241
        7756.370253987544   0.0006812146
        7751.625234480802   0.0004479621
        7746.880361388965   0.0007828814
        7742.135634705177  -0.0002525394
        7737.391054422780   -0.002238732
        7732.646620534918   -0.003062599
        7727.902333034868   -0.003481850
        7723.158191915774   -0.001572463
        7718.414197170912   -0.002918602
        7713.670348793560   -0.003272469
        7708.926646776793   -0.003137098
        7704.183091114021   -0.003010778
        7699.439681798323  -0.0007878916
        7694.696418823041   -0.002107472
        7689.953302181319   -0.002969429
        7685.210331866432   -0.004608514
        7680.467507871525   -0.003292511
        7675.724830190008    0.001043075
        7670.982298814892    0.001071356
        7666.239913739585   -0.001659480
        7661.497674957165   -0.003852675
        7656.755582461043   -0.001715989
        7652.013636244294   -0.001783758
        7647.271836300195   -0.002367222
        7642.530182621957   -0.001720576
        7637.788675202924  -0.0004554021
        7633.047314036171   -0.001156047
        7628.306099115109   -0.001178452
        7623.565030432747   -0.002784533
        7618.824107982565   -0.002562479
        7614.083331757570   -0.001240266
        7609.342701751239   -0.001288962
        7604.602217956583   0.0003146304
        7599.861880366946   0.0003125822
        7595.121688975470  -0.0005746079
        7590.381643775566  -0.0003435557
        7585.641744760309   -0.001094416
        7580.901991923045  -9.673607e-05
        7576.162385256917  -0.0002557003
        7571.422924755267   0.0008804547
        7566.683610411240   0.0006807307
        7561.944442218110   -0.001936550
        7557.205420169092   0.0008474138
        7552.466544257524  -0.0007323771
        7547.727814476553  -0.0005785883
        7542.989230819455  -0.0006570824
        7538.250793279439    0.002996227
        7533.512501849783   0.0007370593
        7528.774356523695    0.002181527
        7524.036357294455    0.001042403
        7519.298504155272  -0.0004867926
        7514.560797099421   0.0001241312
        7509.823236120114    0.001746380
        7505.085821210626    0.003893806
        7500.348552364168    0.002837434
        7495.611429574017   0.0009328029
        7490.874452833450    0.001201364
        7486.137622135610    0.001505005
        7481.400937473774    0.004064206
        7476.664398841284    0.003533189
        7471.928006231286    0.001598276
        7467.191759637055    0.002135334
        7462.455659051868   0.0007329147
        7457.719704468935    0.002728832
        7452.983895881533    0.001429559
        7448.248233282939    0.001551918
        7443.512716666295    0.001020388
        7438.777346024946   0.0006714637
        7434.042121352101    0.001643583
        7429.307042641038   0.0009378263
        7424.572109884967   0.0003949456
        7419.837323077163    0.002397189
        7415.102682210904    0.004230982
        7410.368187279400  -0.0007709416
        7405.633838275995  -0.0008141733
        7400.899635193764   -0.001673447
        7396.165578026119    0.001001380
        7391.431666766268    0.002024848
        7386.697901407490   0.0004333327
        7381.964281942995   -0.001124223
        7377.230808365989   0.0002611564
        7372.497480669887   -0.001825986
        7367.764298847765   -0.001204117
        7363.031262893031  -3.822890e-05
        7358.298372798828    0.001910884
        7353.565628558502   0.0006909354
        7348.833030165261   0.0006097633
        7344.100577612383    0.004123122
        7339.368270893145  -8.987373e-05
        7334.636110000755   -0.001647861
        7329.904094928424  -0.0006456047
        7325.172225669565  -0.0006901978
        7320.440502217383   -0.001107420
        7315.708924565026   -0.001141662
        7310.977492705901   -0.003126954
        7306.246206633217   -0.001360315
        7301.515066340188   2.503040e-05
        7296.784071820156  -0.0008941040
        7292.053223066396  -0.0008294545
        7287.322520072054   -0.001141914
        7282.591962830471   0.0002083239
        7277.861551334924   0.0001976825
        7273.131285578625   0.0009705329
        7268.401165554848   0.0008225749
        7263.671191256939   -0.001008351
        7258.941362678040   -0.001435877
        7254.211679811561   0.0008864748
        7249.482142650646   0.0003825785
        7244.752751188572    0.001493377
        7240.023505418681   0.0008786201
        7235.294405334250   -0.003597168
        7230.565450928423   -0.001367888
        7225.836642194544  -0.0004712608
        7221.107979125955   0.0002534138
        7216.379461715801   -0.002479014
        7211.651089957357  -0.0004041355
        7206.922863844034  -0.0009292024
        7202.194783368908   -0.002392868
        7197.466848525456   0.0008708760
        7192.739059306755  -0.0005142757
        7188.011415706215   -0.001546687
        7183.283917717046   0.0002368242
        7178.556565332526   2.728191e-05
        7173.829358545995  -0.0001100615
        7169.102297350600    0.001465374
        7164.375381739683    0.001285121
        7159.648611706586    0.001510623
        7154.921987244454    0.001732391
        7150.195508346629    0.003387639
        7145.469175006389    0.006701670
        7140.742987217011    0.006609571
        7136.016944971838    0.005090893
        7131.291048264013    0.008605390
        7126.565297086879    0.007739661
        7121.839691433646    0.008119400
        7117.114231297725    0.008743935
        7112.388916672327     0.01168747
        7107.663747550659     0.01258310
        7102.938723926132     0.01292930
        7098.213845791958     0.01374857
