Scan:      6      F12043-3140 2010-07-25 +23 04 44.0
         OPTICAL                 Jy    
        km/s-BAR                 I
        8341.728761418981     -0.1118152
        8336.965287205623    -0.07295601
        8332.201960267885    -0.07839093
        8327.438780598977    -0.07482935
        8322.675748192110    -0.06937537
        8317.912863040494    -0.07131959
        8313.150125137137    -0.08157165
        8308.387534475387    -0.06918765
        8303.625091048316    -0.05941968
        8298.862794849070    -0.05535011
        8294.100645870993    -0.05880029
        8289.338644107027    -0.06236044
        8284.576789550516    -0.05612403
        8279.815082194604    -0.03540289
        8275.053522032367    -0.03552837
        8270.292109057084    -0.02874862
        8265.530843261895    -0.02521585
        8260.769724639946    -0.02631833
        8256.008753184515    -0.02156384
        8251.247928888675    -0.01762877
        8246.487251745639    -0.01483806
        8241.726721748617    -0.01226033
        8236.966338890685    -0.01079813
        8232.206103165119   -0.008948091
        8227.446014565132   -0.006065445
        8222.686073083732   -0.006332223
        8217.926278714263   -0.005861964
        8213.166631449871   -0.004380906
        8208.407131283628   -0.002231452
        8203.647778208880   -0.001702278
        8198.888572218772   -0.001123060
        8194.129513306312  -0.0002092046
        8189.370601464910  -0.0008559919
        8184.611836687644   8.467190e-05
        8179.853218967657   3.749257e-05
        8175.094748298226  -0.0004077903
        8170.336424672496  -0.0003410889
        8165.578248083608   0.0002144777
        8160.820218524840   0.0002735218
        8156.062335989269   0.0009855875
        8151.304600470171  -0.0003895436
        8146.547011960623    0.002021482
        8141.789570453904   0.0008126755
        8137.032275943222   0.0001553801
        8132.275128421720   -0.001047126
        8127.518127882543   -0.001908336
        8122.761274318967  -0.0003391112
        8118.004567724070   -0.001029879
        8113.248008091194   0.0008560640
        8108.491595413416    0.001401703
        8103.735329683946   0.0002167057
        8098.979210895996   0.0001051422
        8094.223239042642   0.0006397971
        8089.467414117293   0.0007301611
        8084.711736112959  -0.0002470716
        8079.956205022920  -0.0009768059
        8075.200820840316  -0.0007905639
        8070.445583558424  -0.0003859697
        8065.690493170257   0.0001064156
        8060.935549669223   0.0009234693
        8056.180753048466   0.0001206444
        8051.426103301063   -0.001876636
        8046.671600420289   0.0007195707
