Scan:     26      F01173+1405 2010-05-17 +17 13 04.0
         OPTICAL                 Jy    
        km/s-BAR                 I
        10768.42053582155     0.01159240
        10763.58238416171     0.01910169
        10758.74438324417     0.02491446
        10753.90653306210     0.02710540
        10749.06883360829     0.02020347
        10744.23128487576     0.01172907
        10739.39388685751     0.01611289
        10734.55663954636    0.009100253
        10729.71954293539    0.005995336
        10724.88259701753    0.004263901
        10720.04580178574  -0.0002449852
        10715.20915723289   -0.002976924
        10710.37266335212   -0.003339749
        10705.53632013624   -0.001518566
        10700.70012757820   -0.001319012
        10695.86408567108   -0.005717972
        10691.02819440775    -0.01074331
        10686.19245378122   -0.008830860
        10681.35686378444   -0.006253167
        10676.52142441034   -0.007907510
        10671.68613565182   -0.007529371
        10666.85099750208   -0.005903812
        10662.01600995385   -0.004404000
        10657.18117300016   -0.003213370
        10652.34648663401   -0.004878227
        10647.51195084835   -0.002752072
        10642.67756563612   -0.001731516
        10637.84333099032   -0.001461972
        10633.00924690392   -0.002078027
        10628.17531336984  -0.0004851708
        10623.34153038103   -0.001432655
        10618.50789793051   -0.002023414
        10613.67441601128  -7.539314e-05
        10608.84108461623   0.0006599035
        10604.00790373841   0.0001592216
        10599.17487337073  -0.0007458832
        10594.34199350618   -0.001385049
        10589.50926413771   0.0004542578
        10584.67668525833  -0.0001519432
        10579.84425686092   0.0007100938
        10575.01197893855   0.0002638947
        10570.17985148416   0.0001966630
        10565.34787449071  -0.0001364836
        10560.51604795121  -1.661887e-05
        10555.68437185865   -0.001331336
        10550.85284620586   0.0005581392
        10546.02147098598    0.001467719
        10541.19024619188   0.0006454279
        10536.35917181657   -0.001408083
        10531.52824785307  -0.0001581471
        10526.69747429425    0.001118609
        10521.86685113319    0.001046307
        10517.03637836284   0.0008955168
        10512.20605597613   3.245306e-05
        10507.37588396608  -1.271730e-05
        10502.54586232563   -0.001972165
        10497.71599104786  -0.0005508591
        10492.88627012558   -0.001892234
        10488.05669955199   0.0001414374
        10483.22727931986    0.001100770
        10478.39800942224    0.001175085
        10473.56888985215  -0.0003684731
        10468.73992060260   7.980599e-06
        10463.91110166641  -0.0006009100
        10459.08243303671  -0.0006859986
        10454.25391470652   -0.002223894
        10449.42554666864   -0.001861304
        10444.59732891616   0.0009575206
        10439.76926144215   0.0006696236
        10434.94134423949   0.0004519731
        10430.11357730105   0.0008801324
        10425.28596062005  -0.0004091587
        10420.45849418936   0.0001577313
        10415.63117800193   0.0003474653
        10410.80401205090    0.001040312
        10405.97699632908   0.0004802569
        10401.15013082948  -4.741673e-06
        10396.32341554518  -0.0007873541
        10391.49685046912    0.001540747
        10386.67043559425  -0.0002913154
        10381.84417091364   4.812431e-05
        10377.01805642024    0.001124867
        10372.19209210699    0.002015592
        10367.36627796696    0.001056510
        10362.54061399311   -0.001452617
        10357.71510017837  -0.0002996881
        10352.88973651583   0.0009183264
        10348.06452299849  -0.0001259331
        10343.23945961917  -0.0001253568
        10338.41454637113   0.0004296070
        10333.58978324713  -0.0005906938
        10328.76517024024  -3.724896e-05
        10323.94070734354  -6.330697e-05
        10319.11639454991  -0.0001883453
        10314.29223185235   -0.001640985
        10309.46821924394  -0.0009222633
        10304.64435671764  -0.0005727043
        10299.82064426637  -0.0002227560
        10294.99708188322  -0.0001156595
        10290.17366956120   0.0002906079
        10285.35040729319   0.0005729013
        10280.52729507233   0.0006141327
        10275.70433289156   -0.001587964
        10270.88152074376  -0.0006554923
        10266.05885862214  -0.0003254573
        10261.23634651958   0.0008488398
        10256.41398442902  -0.0001208637
        10251.59177234367  -0.0003432545
        10246.76971025635   7.633514e-05
        10241.94779816005   0.0007479053
        10237.12603604787   0.0003340992
        10232.30442391281  -0.0009778932
        10227.48296174782   -0.001094545
        10222.66164954590  -0.0006918948
        10217.84048730006  -0.0006069206
        10213.01947500339  -1.223583e-05
        10208.19861264876  -0.0006995611
        10203.37790022924   0.0003006078
        10198.55733773792  -0.0001243676
        10193.73692516760   6.368445e-05
        10188.91666251149   0.0006285754
        10184.09654976248   0.0005050024
        10179.27658691357   4.705977e-05
        10174.45677395784   0.0003661491
        10169.63711088830    0.001061076
        10164.81759769789  -0.0003326676
        10159.99823437963  -8.142817e-05
        10155.17902092659  -1.760107e-05
        10150.35995733171    0.001862743
        10145.54104358808   0.0007717858
        10140.72227968863  -0.0003595232
        10135.90366562637    0.001240175
        10131.08520139440  -0.0007890101
        10126.26688698570  -0.0003739431
        10121.44872239316   0.0009549201
        10116.63070761000  -0.0006404840
        10111.81284262908   0.0001334906
        10106.99512744336   0.0001980696
        10102.17756204611   0.0006125864
        10097.36014643013   0.0007226969
        10092.54288058845   0.0002032163
        10087.72576451413    0.001249480
        10082.90879820025  -0.0005364413
        10078.09198163964   0.0005077944
        10073.27531482555  -0.0007638816
        10068.45879775087   -0.001428434
        10063.64243040854   0.0001392375
        10058.82621279178  -0.0008495382
        10054.01014489346  -0.0003760259
        10049.19422670659    0.001416475
        10044.37845822424  -0.0003265538
        10039.56283943950   0.0004173722
        10034.74737034525    0.001266466
        10029.93205093455   -0.001434219
        10025.11688120055    0.001037764
        10020.30186113607  -0.0007582872
        10015.48699073424   0.0008528617
        10010.67226998808   0.0002454116
        10005.85769889067   -0.001276636
        10001.04327743487   -0.001546674
        9996.229005613843   0.0009027217
        9991.414883420588   0.0002150768
        9986.600910848056  -3.176741e-05
        9981.787087889385   0.0004788133
        9976.973414537519  -0.0002179060
        9972.159890785473   3.795624e-05
        9967.346516626389   0.0001599012
        9962.533292053206   0.0002069287
        9957.720217058873  -0.0003478214
        9952.907291636597   -0.001392026
        9948.094515779261   -0.001655255
        9943.281889479933  -0.0004059400
        9938.469412731632    0.001214052
        9933.657085527497   -0.001336590
        9928.844907860406   -0.001450521
        9924.032879723438  -0.0005398266
        9919.221001109665   0.0004843570
        9914.409272012103    0.001542310
        9909.597692423758    0.001098597
        9904.786262337646    0.001212280
        9899.974981746838    0.001325963
        9895.163850644416    0.001439646
        9890.352869023318    0.001553328
        9885.542036876559    0.001667011
        9880.731354197282  -0.0003709441
        9875.920820978430  -0.0002936517
        9871.110437213081  -1.724391e-05
        9866.300202894312    0.001229292
        9861.490118015065   0.0001184790
        9856.680182568418  -0.0006553041
        9851.870396547449  -0.0004108720
        9847.060759945100  -0.0009273310
        9842.251272754516  -0.0002725419
        9837.441934968641  -3.112436e-05
        9832.632746580617  -0.0004724395
        9827.823707583324   0.0008322733
        9823.014817969968    0.001686896
        9818.206077733563   0.0006507327
        9813.397486867054  -0.0001441730
        9808.589045363511   0.0004055608
        9803.780753216020  -0.0004630272
        9798.972610417653  -0.0003231562
        9794.164616961287   0.0008901252
        9789.356772840134  -0.0002169950
        9784.549078047203  -1.559218e-05
        9779.741532575439  -2.429548e-05
        9774.934136418053  -0.0003835215
        9770.126889567984   0.0008035769
        9765.319792018183    0.001075344
        9760.512843761921    0.001896349
        9755.706044792078  -0.0001475797
        9750.899395101664   0.0008407587
        9746.092894683889    0.002234356
        9741.286543531762    0.001742090
        9736.480341638162   0.0005798696
        9731.674288996302   -0.001043348
        9726.868385599251   0.0006042981
        9722.062631439894   0.0009735732
        9717.257026511437   0.0008848931
        9712.451570806894    0.001638170
        9707.646264319206   0.0004661880
        9702.841107041515   -0.001684321
        9698.036098966903   -0.001504862
        9693.231240088375   -0.002625146
        9688.426530399012   -0.001056120
        9683.621969891821  -1.813520e-06
        9678.817558559816   0.0005275546
        9674.013296396206   -0.001449221
        9669.209183393868   0.0001090080
        9664.405219545944   0.0007790636
        9659.601404845513  -8.543267e-05
        9654.797739285585  -0.0004616374
        9649.994222859170    0.002010795
        9645.190855559480  -0.0006151085
        9640.387637379390   3.694209e-05
        9635.584568312044   0.0007985868
        9630.781648350518   -0.001736406
        9625.978877487825   -0.001069705
        9621.176255716973  -0.0003043692
        9616.373783031175  -0.0009022066
        9611.571459423372  -0.0006719687
        9606.769284886643   0.0008473980
        9601.967259413999  -4.157455e-05
        9597.165382998644   -0.001756378
        9592.363655633464   -0.002586749
        9587.562077311599  -0.0001528095
        9582.760648026191   0.0005038477
        9577.959367770185  -0.0005319276
        9573.158236536658   2.378629e-06
        9568.357254318686   -0.001925207
        9563.556421109415  -0.0007012141
        9558.755736901721  -0.0003454250
        9553.955201688879    0.001255957
        9549.154815463769    0.001592302
        9544.354578219602    0.001347024
        9539.554489949318   0.0004581343
        9534.754550646130    0.001476462
        9529.954760302913    0.002503553
        9525.155118912946    0.002028054
        9520.355626469105    0.003437001
        9515.556282964533    0.002443321
        9510.757088392374    0.003706833
        9505.958042745575    0.005167102
        9501.159146017211    0.005393991
        9496.360398200488    0.005903210
        9491.561799288354    0.005514559
        9486.763349273820    0.005718800
        9481.965048150096    0.006472528
        9477.166895910257    0.009044424
        9472.368892547182    0.009688810
        9467.571038054144    0.009555099
        9462.773332424158     0.01022313
        9457.975775650233    0.009739939
        9453.178367725579    0.009890733
        9448.381108643074     0.01082935
        9443.583998395927     0.01097450
        9438.787036977215     0.01183770
        9433.990224379948     0.01212553
        9429.193560597205     0.01242348
        9424.397045622194     0.01165134
        9419.600679447794    0.009101093
        9414.804462067148    0.009818649
        9410.008393473398    0.007407038
        9405.212473659623    0.006712438
        9400.416702618768    0.006623385
        9395.621080344041    0.005455015
        9390.825606828452    0.005183372
        9386.030282065143    0.003967026
        9381.235106047063    0.005120415
        9376.440078767486    0.003767433
        9371.645200219356    0.003842867
        9366.850470395748    0.005191105
        9362.055889289808    0.006322631
        9357.261456894546    0.004905757
        9352.467173203107    0.003682730
        9347.673038208564    0.002902388
        9342.879051903998    0.004197414
        9338.085214282417    0.001808573
        9333.291525337034    0.001464203
        9328.497985060854   0.0001794207
        9323.704593446892   0.0009959738
        9318.911350488424   0.0002396809
        9314.118256178393   0.0004269993
        9309.325310509810   1.445372e-05
        9304.532513476021   -0.001589429
        9299.739865069896  -8.548680e-05
        9294.947365284519   0.0003066710
        9290.155014113097   -0.001302954
        9285.362811548639  -4.461584e-06
        9280.570757584228  -0.0005562235
        9275.778852213067   0.0005324855
        9270.987095428103   0.0002329552
        9266.195487222481  -0.0009965936
        9261.404027589275  -0.0004859049
        9256.612716521631  -0.0005117348
        9251.821554012493  -0.0003468457
        9247.030540055135   -0.001067146
        9242.239674642571  -0.0008908259
        9237.448957767874   -0.001076031
        9232.658389424125  -0.0004503489
        9227.867969604529   0.0002641131
        9223.077698301971   -0.001096081
        9218.287575509787  -0.0006773437
        9213.497601220857   -0.002805298
        9208.707775428393   -0.001037423
        9203.918098125469  -0.0005139321
        9199.128569305230   0.0001587614
        9194.339188960686  -0.0003061295
        9189.549957084915  -0.0008840257
        9184.760873671126   -0.002172231
        9179.971938712331   -0.002689405
        9175.183152201604   -0.002598993
        9170.394514132156  -0.0007244064
        9165.606024497003  -0.0003205370
        9160.817683289213   0.0002508801
        9156.029490501936  -0.0004444432
        9151.241446128313  -0.0001576719
        9146.453550161355    0.001002650
        9141.665802594205    0.001306397
        9136.878203420009   4.091476e-05
        9132.090752631773   0.0003537698
        9127.303450222646   0.0004550247
        9122.516296185766  -0.0003601352
        9117.729290514148    0.001022570
        9112.942433200998   -0.001089536
        9108.155724239330  -0.0001336357
        9103.369163622288   0.0009205541
        9098.582751343012  -0.0008018253
        9093.796487394580   0.0006311620
        9089.010371770006    0.001123364
        9084.224404462493   0.0003504205
        9079.438585465194    0.001003768
        9074.652914771044   0.0001831588
        9069.867392373393    0.001320150
        9065.082018265113   0.0002939465
        9060.296792439418   -0.001072808
        9055.511714889450   0.0008114967
        9050.726785608220    0.001281051
        9045.942004588869   0.0007180972
        9041.157371824611    0.002407303
        9036.372887308455    0.001056980
        9031.588551033474   0.0003941662
        9026.804362992887   0.0005991824
        9022.020323179762   0.0005543382
        9017.236431587115   0.0009361143
        9012.452688208221   0.0005218018
        9007.669093036089  -0.0003998222
        9002.885646063800  -0.0006274267
        8998.102347284626    0.002002700
        8993.319196691513    0.002038653
        8988.536194277673    0.001937843
        8983.753340036177   0.0006323961
        8978.970633960176  -1.124938e-05
        8974.188076042743  -0.0002779513
        8969.405666276956  -0.0001444422
        8964.623404656024  -0.0004947936
        8959.841291173027  -0.0006281979
        8955.059325821036  -0.0001693108
        8950.277508593266   0.0006532749
        8945.495839482795   2.055837e-05
        8940.714318482629  -0.0004841494
        8935.932945586117   0.0008151473
        8931.151720786131    0.001149006
        8926.370644075949   4.651503e-05
        8921.589715448650   -0.001774112
        8916.808934897374  -0.0009627683
        8912.028302415134   0.0002105894
        8907.247817995209   0.0003043351
        8902.467481630672   -0.001611364
        8897.687293314533   -0.001203145
        8892.907253040072   -0.001049823
        8888.127360800365   -0.001015551
        8883.347616588420   -0.001491348
        8878.568020397517   -0.001655454
        8873.788572220734   -0.001153417
        8869.009272051075  -6.732158e-05
        8864.230119881822   0.0003493569
        8859.451115706117   -0.001109236
        8854.672259516907  -0.0004938463
        8849.893551307463   -0.001050415
        8845.114991070932  -0.0006491323
        8840.336578800257   0.0003846043
        8835.558314488784  -0.0001063139
        8830.780198129585   0.0003045537
        8826.002229715674  -0.0006834239
        8821.224409240258   -0.002800923
        8816.446736696553   -0.001242046
        8811.669212077497   0.0007859398
