System,AlternateName,R.A.(J2000),Decl.(J2000),log(LIR),tFUV,fν(FUV),σFUV,tNUV,fν(NUV),σNUV
NGC0023,,00h09m53.s41,+25◦55′25.′′6,11.12,3410,1.26E-14,8.E-17,3410,1.49E-14,3.E-17
NGC0034,,00h11m06.s55,−12◦06′26.′′3,11.49,119,1.53E-14,4.E-16,119,1.05E-14,2.E-16
Arp256,MCG-02-01-051-2,00h18m50.s40,−10◦22′08.′′0,11.48,1618,2.65E-14,2.E-16,1618,2.50E-14,6.E-17
ESO350-IG038,,00h36m52.s50,−33◦33′19.′′0,11.28,3356.05,3.95E-14,1.E-16,3356.05,2.31E-14,4.E-17
NGC0232,,00h42m45.s82,−23◦33′40.′′9,11.44,115,2.65E-15,2.E-16,115,2.37E-15,1.E-16
MCG+12-02-001,,00h54m03.s61,+73◦05′11.′′8,11.50,112,3.60E-16,3.E-16,112,1.61E-16,1.E-16
NGC0317B,,00h57m41.s67,+43◦47′33.′′2,11.19,110,2.36E-15,3.E-16,110,4.29E-15,1.E-16
IC1623,VV114,01h07m47.s18,−17◦30′25.′′3,11.71,1668,6.40E-14,2.E-16,1668,4.87E-14,8.E-17
MCG-03-04-014,,01h10m08.s96,−16◦51′09.′′8,11.65,3241,3.63E-15,5.E-17,3241,3.78E-15,2.E-17
ESO244-G012,,01h18m08.s10,−44◦27′51.′′0,11.38,117,8.88E-15,4.E-16,117,7.59E-15,1.E-16
CGCG436-030,,01h20m02.s72,+14◦21′42.′′9,11.69,3178.05,6.42E-15,6.E-17,6101.5,8.68E-15,2.E-17
IRASF01364-1042,,01h38m52.s92,−10◦27′11.′′4,11.85,3284,2.50E-16,3.E-17,3753,7.62E-16,1.E-17
NGC0695,,01h51m14.s24,+22◦34′56.′′5,11.68,3403,4.96E-15,6.E-17,6404,6.83E-15,2.E-17
UGC01385,,01h54m53.s79,+36◦55′04.′′6,11.05,137,1.09E-14,4.E-16,137,8.60E-15,1.E-16
NGC0877,,02h17m59.s64,+14◦32′38.′′6,11.10,1694,2.81E-14,2.E-16,1694,2.68E-14,6.E-17
MCG+05-06-036,,02h23m20.s45,+32◦11′34.′′2,11.64,147,2.29E-15,2.E-16,147,3.52E-15,8.E-17
NGC0958,,02h30m42.s58,−02◦56′27.′′2,11.20,1696,1.41E-14,1.E-16,1696,1.27E-14,4.E-17
NGC1068,,02h42m40.s71,−00◦00′47.′′8,11.40,1627,2.86E-13,5.E-16,1627,2.64E-13,2.E-16
UGC02238,,02h46m17.s49,+13◦05′44.′′4,11.33,1316,1.42E-15,7.E-17,1400,1.28E-15,3.E-17
IRASF02437+2122,,02h46m39.s15,+21◦35′10.′′3,11.16,120,···,···,120,3.83E-16,9.E-17
NGC1275,,03h19m48.s16,+41◦30′42.′′1,11.26,14563.35,1.78E-14,5.E-17,17097.35,1.67E-14,2.E-17
NGC1365,,03h33m36.s37,−36◦08′25.′′4,11.00,1662.05,1.14E-13,5.E-16,1662.05,1.05E-13,2.E-16
IRASF03359+1523,,03h38m46.s70,+15◦32′55.′′0,11.55,107,9.11E-16,3.E-16,107,1.32E-15,6.E-17
CGCG465-012,,03h54m16.s08,+15◦55′43.′′4,11.20,133,3.49E-16,3.E-16,133,1.68E-15,1.E-16
IRAS03582+6012,,04h02m30.s65,+60◦20′33.′′4,11.43,116,···,···,116,8.08E-17,1.E-16
UGC02982,,04h12m22.s45,+05◦32′50.′′6,11.20,113,4.51E-16,4.E-16,113,2.46E-16,1.E-16
ESO550-IG025,,04h21m20.s00,−18◦48′48.′′0,11.51,129,2.68E-15,3.E-16,129,2.80E-15,1.E-16
IRAS04271+3849,,04h30m33.s09,+38◦55′47.′′7,11.11,166,···,···,166,···,.. ..
ESO203-IG001,,04h46m49.s50,−48◦33′32.′′9,11.86,3899,7.39E-16,3.E-17,5482,6.81E-16,1.E-17
MCG-05-12-006,,04h52m04.s96,−32◦59′25.′′6,11.17,81,1.64E-15,3.E-16,81,3.94E-15,1.E-16
CGCG468-002,,05h08m20.s50,+17◦21′58.′′0,11.22,118,7.51E-16,5.E-16,118,5.07E-16,1.E-16
IRAS05083+2441,,05h11m25.s88,+24◦45′18.′′3,11.26,111.05,2.00E-16,2.E-16,111.05,3.42E-16,6.E-17
IRAS05129+5128,,05h16m56.s10,+51◦31′56.′′5,11.42,130,5.33E-16,3.E-16,130,5.90E-16,1.E-16
IRASF05189-2524,,05h21m01.s47,−25◦21′45.′′4,12.16,2310.05,1.58E-15,8.E-17,2311.05,1.36E-15,3.E-17
IRAS05223+1908,,05h25m16.s50,+19◦10′46.′′0,11.65,114,···,···,114,···,.. ..
