System Name,Galaxy Name,R.A.(J2000),Decl.(J2000),log(LIR),fν(FUV),σFUV,fν(NUV),σNUV
GOALSJ001108.5-120351,NGC0034,00h11m06.s56,−12◦06′28.′′2,11.34,1.53E-14,4.E-16,1.05E-14,6.E-16
GOALSJ001108.5-120351,NGC0035,00h11m10.s51,−12◦01′14.′′9,10.57,6.92E-15,3.E-16,8.63E-15,6.E-16
MCG-02-01-051-2,MCG-02-01-052,00h18m49.s85,−10◦21′34.′′0,10.36,1.24E-14,1.E-16,1.05E-14,1.E-16
MCG-02-01-051-2,MCG-02-01-051,00h18m50.s90,−10◦22′36.′′7,11.45,1.42E-14,1.E-16,1.08E-14,1.E-16
NGC0232,NGC0232,00h42m45.s83,−23◦33′41.′′0,11.37,2.65E-15,2.E-16,2.37E-15,5.E-16
NGC0232,NGC0235A,00h42m52.s82,−23◦32′27.′′8,10.86,1.28E-15,2.E-16,1.19E-15,5.E-16
NGC0317,NGC0317A,00h57m39.s04,+43◦48′03.′′1,8.96,2.48E-16,3.E-17,1.37E-15,4.E-17
NGC0317,NGC0317B,00h57m40.s41,+43◦47′32.′′5,11.19,2.12E-15,3.E-16,2.91E-15,9.E-17
IC1623,IC1623A,01h07m46.s75,−17◦30′26.′′2,11.08,6.16E-14,2.E-16,4.57E-14,7.E-17
IC1623,IC1623B,01h07m47.s54,−17◦30′25.′′1,11.59,2.31E-15,8.E-18,3.03E-15,5.E-18
ESO244-G012,ESO244-G012NED01,01h18m08.s23,−44◦28′00.′′4,9.49,7.27E-15,3.E-16,5.61E-15,1.E-16
ESO244-G012,ESO244-G012NED02,01h18m08.s31,−44◦27′43.′′4,11.37,1.61E-15,6.E-17,1.98E-15,3.E-17
GOALSJ015457.8+365508,UGC01385,01h54m53.s82,+36◦55′04.′′3,11.00,1.92E-15,2.E-16,1.71E-15,3.E-16
GOALSJ015457.8+365508,KUG0152+366,01h55m01.s75,+36◦55′11.′′6,10.05,8.94E-15,3.E-16,6.89E-15,4.E-16
GOALSJ021756.5+143158,NGC0876,02h17m53.s26,+14◦31′18.′′4,10.51,2.81E-14,2.E-16,2.68E-14,2.E-16
GOALSJ021756.5+143158,NGC0877,02h17m59.s68,+14◦32′38.′′2,11.07,1.27E-15,6.E-17,1.31E-15,2.E-16
MRK1034,MCG+05-06-035,02h23m18.s97,+32◦11′18.′′5,11.00,1.61E-15,1.E-16,2.53E-15,6.E-17
MRK1034,MCG+05-06-036,02h23m21.s99,+32◦11′48.′′8,11.53,6.80E-16,5.E-17,9.82E-16,2.E-17
KPG095,UGC02894,03h54m07.s67,+15◦59′24.′′3,10.81,1.56E-15,3.E-16,1.36E-15,7.E-16
KPG095,CGCG465-012,03h54m15.s95,+15◦55′43.′′4,11.16,3.49E-16,3.E-16,1.68E-15,7.E-16
ESO550-IG025,ESO550-IG025NED01,04h21m20.s02,−18◦48′39.′′6,11.27,2.18E-15,2.E-16,2.17E-15,8.E-17
ESO550-IG025,ESO550-IG025NED02,04h21m20.s08,−18◦48′57.′′4,11.13,5.00E-16,5.E-17,6.30E-16,2.E-17
CGCG468-002,CGCG468-002NED01,05h08m19.s71,+17◦21′47.′′8,10.74,4.20E-17,3.E-17,2.65E-16,7.E-17
CGCG468-002,CGCG468-002NED02,05h08m21.s21,+17◦22′08.′′0,11.05,7.09E-16,4.E-16,2.42E-16,6.E-17
GOALSJ051127.4+244539,IRAS05083+2441,05h11m25.s88,+24◦45′18.′′2,11.24,1.99E-16,2.E-16,3.15E-16,4.E-16
GOALSJ051127.4+244539,2MASXJ05112888+2445593,05h11m29.s05,+24◦46′04.′′0,10.06,1.02E-18,2.E-16,2.66E-17,4.E-16
KPG108,UGC03405,06h13m57.s90,+80◦28′34.′′7,10.54,3.20E-15,3.E-16,2.94E-15,5.E-16
KPG108,UGC03410,06h14m29.s61,+80◦26′59.′′6,11.02,1.04E-15,2.E-16,1.12E-15,5.E-16
KPG125,NGC2341,07h09m12.s01,+20◦36′11.′′2,11.11,4.98E-15,4.E-16,6.98E-15,8.E-16
KPG125,NGC2342,07h09m18.s07,+20◦38′10.′′2,11.20,2.54E-14,6.E-16,2.26E-14,9.E-16
WBL142,NGC2385,07h28m28.s17,+33◦50′16.′′9,9.59,3.22E-16,6.E-17,1.86E-15,2.E-16
WBL142,NGC2388,07h28m53.s44,+33◦49′07.′′8,11.26,2.96E-14,2.E-16,2.19E-14,2.E-16
WBL142,NGC2389,07h29m04.s59,+33◦51′38.′′0,10.65,7.20E-17,6.E-17,3.62E-16,2.E-16
GOALSJ073542.4+113938,NGC2416,07h35m41.s53,+11◦36′42.′′1,...,1.16E-14,4.E-16,9.14E-15,7.E-16
GOALSJ073542.4+113938,MCG+02-20-003,07h35m43.s44,+11◦42′34.′′8,...,5.73E-15,3.E-16,7.78E-15,7.E-16
IRASF09111-1007,2MASXJ09133644-1019296,09h13m36.s50,−10◦19′29.′′7,11.90,3.10E-17,1.E-17,9.30E-17,8.E-18
IRASF09111-1007,2MASXJ09133888-1019196,09h13m38.s89,−10◦19′19.′′6,11.24,1.10E-15,3.E-17,1.75E-15,4.E-19
UGC04881,UGC04881NED02,09h15m54.s69,+44◦19′50.′′8,11.26,6.89E-17,6.E-18,9.72E-17,3.E-18
UGC04881,UGC04881NED01,09h15m55.s52,+44◦19′57.′′4,11.56,1.69E-16,9.E-18,2.34E-16,4.E-18
CGCG239-011,CGCG239-011NED01,09h36m30.s86,+48◦28′09.′′9,9.93,6.88E-15,3.E-16,3.84E-15,3.E-16
CGCG239-011,MCG+08-18-013,09h36m37.s20,+48◦28′27.′′7,11.32,2.88E-15,2.E-16,2.65E-15,3.E-16
GOALSJ112110.3-025922,2MASXJ11210825-0259399,11h21m08.s29,−02◦59′39.′′2,10.02,2.98E-16,1.E-16,2.40E-16,3.E-16
GOALSJ112110.3-025922,CGCG011-076,11h21m12.s24,−02◦59′02.′′5,11.41,2.92E-16,1.E-16,7.01E-16,3.E-16
IC2810,IC2810A,11h25m45.s07,+14◦40′36.′′0,11.45,1.43E-15,1.E-16,2.10E-15,3.E-16
IC2810,IC2810B,11h25m49.s55,+14◦40′06.′′6,11.20,1.28E-16,7.E-17,1.62E-16,2.E-16
Arp299,NGC3690,11h28m31.s04,+58◦33′40.′′5,11.77,8.32E-14,9.E-16,5.79E-14,3.E-16
