Galaxy,log(LFUV),β(GALEX),σβ(GALEX),IRX,σIRX,Mass,SFR,SSFR
NGC0034,9.69,−0.91,0.15,1.739,0.013,8.92E+10,[46.91],[5.26E-10]
NGC0035,9.35,0.53,0.19,1.257,0.020,2.05E+10,6.99,3.41E-10
MCG-02-01-052,9.89,−0.39,0.03,0.468,0.004,...,3.95,...
MCG-02-01-051,9.95,−0.64,0.03,1.501,0.003,...,48.63,...
NGC0232,9.04,−0.26,0.55,2.312,0.037,1.10E+11,39.14,3.57E-10
NGC0235A,8.73,−0.18,1.05,1.998,0.062,8.46E+10,[9.21],[1.09E-10]
NGC0317A,7.84,4.09,0.34,1.120,0.060,8.15E+10,0.16,1.95E-12
NGC0317B,8.77,0.76,0.34,2.412,0.060,3.44E+10,26.63,7.73E-10
IC1623A,10.31,−0.71,0.01,0.773,0.002,1.37E+11,21.07,1.54E-10
IC1623B,8.88,0.65,0.01,2.703,0.002,4.72E+10,[67.19],[1.42E-09]
ESO244-G012NED01,9.45,−0.62,0.10,0.042,0.017,...,0.53,...
ESO244-G012NED02,8.79,0.49,0.10,2.584,0.017,...,41.19,...
UGC01385,8.75,−0.28,0.48,2.271,0.040,4.74E+10,18.30,3.86E-10
KUG0152+366,9.42,−0.62,0.16,0.399,0.016,1.31E+10,1.14,8.71E-11
NGC0876,9.59,−0.12,0.02,0.923,0.002,2.43E+10,5.60,2.31E-10
NGC0877,8.24,0.06,0.32,2.727,0.021,1.37E+11,16.17,1.18E-10
MCG+05-06-035,9.17,1.09,0.19,1.980,0.034,1.89E+11,24.84,1.31E-10
MCG+05-06-036,8.80,0.88,0.19,2.672,0.034,9.86E+10,51.76,5.25E-10
UGC02894,8.80,−0.34,1.31,1.827,0.093,4.73E+10,7.28,1.54E-10
CGCG465-012,8.15,3.75,2.38,2.920,0.395,6.95E+10,20.18,2.90E-10
ESO550-IG025NED01,9.28,−0.01,0.24,1.994,0.041,...,32.28,...
ESO550-IG025NED02,8.64,0.55,0.24,2.497,0.041,...,23.54,...
CGCG468-002NED01,7.07,4.40,1.61,3.669,0.269,6.54E+10,9.57,1.46E-10
CGCG468-002NED02,8.30,−2.57,1.61,2.751,0.269,1.83E+10,[19.52],[1.06E-09]
IRAS05083+2441,7.95,1.10,3.94,3.264,0.462,5.56E+10,28.38,5.11E-10
2MASXJ05112888+2445593,5.66,7.79,483.06,4.650,87.595,2.30E+10,3.54,1.54E-10
UGC03405,8.72,−0.20,0.46,1.626,0.037,3.73E+10,3.83,1.03E-10
UGC03410,8.23,0.19,1.18,2.787,0.096,8.55E+10,18.05,2.11E-10
NGC2341,9.15,0.80,0.31,1.830,0.032,7.10E+10,16.69,2.35E-10
NGC2342,9.86,−0.27,0.11,1.178,0.011,1.27E+11,18.93,1.50E-10
NGC2385,7.76,4.19,0.48,1.923,0.079,2.76E+10,0.84,3.04E-11
NGC2388,9.72,−0.72,0.03,1.453,0.002,7.73E+10,26.11,3.38E-10
NGC2389,7.11,3.86,2.12,3.453,0.334,3.83E+10,6.34,1.65E-10
NGC2416,9.45,−0.56,0.20,...,...,3.30E+10,...,...
MCG+02-20-003,9.14,0.73,0.25,...,...,4.92E+10,...,...
2MASXJ09133644-1019296,7.90,2.62,1.02,4.049,0.181,...,154.77,...
2MASXJ09133888-1019196,9.45,1.10,0.06,1.942,0.010,...,42.94,...
UGC04881NED02,7.98,0.82,0.22,3.285,0.038,8.52E+10,32.23,3.78E-10
UGC04881NED01,8.37,0.78,0.13,3.192,0.023,1.73E+11,63.94,3.69E-10
CGCG239-011NED01,9.63,−1.39,0.23,0.345,0.020,6.25E+09,1.65,2.64E-10
