Name,Dl,LOG(Lir),Name,Code,S(HI),Err,Vel,W50,W20,RMS
nan,Mpc,Lsun,nan,nan,Jykm/s,nan,cz,km/s,km/s,mJy
F00073+2538,65.2,11.12,F00073+2538,1=,9.04,0.10,4567.0,387.2,453.1,1.95
F00085-1223,84.1,11.49,F00085-1223,1=,4.48,0.09,5881.0,298.3,432.4,2.08
F00163-1039,117.5,11.48,F00163-1039,1=,5.95,0.08,8143.0,264.6,309.5,1.96
F00344-3349,89.0,11.28,F00344-3349,2=,0.13,0.05,6238.0,90.6,147.9,1.63
F00402-2349,95.2,11.44,F00402-2349,1=,2.01,0.07,6762.0,261.1,329.6,1.68
F00506+7248,69.8,11.50,F00506+7248,1=,6.13,0.08,4781.0,316.5,386.2,1.88
F00548+4331,77.8,11.19,F00548+4331,1=,7.46,0.15,5284.0,307.0,451.7,2.81
F01053-1746,85.5,11.71,F01053-1746,1=,12.44,0.55,6163.0,559.3,710.8,9.15
F01076-1707,144.0,11.65,F01076-1707,0<,0.16,0.05,0.0,0.0,0.0,1.46
F01173+1405,134.0,11.69,F01173+1405,1=,1.33,0.04,9428.0,112.2,194.4,1.04
F01364-1042,210.0,11.85,F01364-1042,0<,0.10,0.03,0.0,0.0,0.0,0.95
F01417+1651,119.0,11.64,F01417+1651,1=,2.09,0.04,8219.0,182.3,232.1,1.01
F01484+2220,139.0,11.68,F01484+2220,1=,4.58,0.05,9828.0,247.3,390.7,1.07
F01519+3640,79.8,11.05,F01519+3640,1=,3.12,0.06,5609.0,213.0,294.0,1.37
F02070+3857,76.3,11.36,F02070+3857,1=,9.79,0.09,5373.0,391.6,451.6,1.84
F02071-1023,53.8,11.05,F02071-1023,1=,20.06,0.09,3843.0,242.0,325.2,1.74
F02114+0456,129.0,11.43,F02114+0456,1=,0.33,0.05,9235.0,151.5,225.1,1.37
F02152+1418,54.6,11.10,F02152+1418,1=,41.36,0.14,3876.0,416.7,506.6,2.59
F02203+3158,145.0,11.64,F02203+3158,1=,1.54,0.07,10081.0,212.9,307.6,1.67
F02208+4744,67.0,11.12,F02208+4744,2=,4.18,0.09,4632.0,177.9,280.4,2.15
F02281-0309,80.6,11.20,F02281-0309,1=,30.03,0.16,5744.0,578.2,622.3,2.76
F02345+2053,58.0,11.07,F02345+2053,1=,16.87,0.09,4144.0,265.0,336.6,2.03
F02401-0013,15.9,11.40,F02401-0013,1=,22.58,0.32,1131.0,255.1,307.5,8.00
F02435+1253,92.4,11.33,F02435+1253,1=,10.79,0.09,6437.0,68.4,359.3,1.74
F02437+2122,98.8,11.16,F02437+2122,5>,1.59,0.05,7022.0,271.6,356.8,1.04
F02512+1446,136.0,11.67,F02512+1446,2=,0.30,0.06,9278.0,106.1,214.5,1.61
F03117+4151,100.0,11.41,F03117+4151,1=,2.67,0.05,6997.0,287.2,331.2,1.27
F03217+4022,100.0,11.33,F03217+4022,2=,0.38,0.04,6985.0,75.3,126.3,1.24
F03359+1523,152.0,11.55,F03359+1523,3=,-0.82,0.05,10746.0,154.4,257.5,1.06
F03514+1546,94.3,11.20,F03514+1546,1=,4.92,0.08,6629.0,212.0,239.8,1.97
F03582+6012,131.0,11.43,F03582+6012,2=,2.68,0.07,8865.0,201.1,360.4,1.55
F04097+0525,74.9,11.20,F04097+0525,1=,11.84,0.11,5316.0,375.5,413.7,2.38
F04118-3207,51.0,11.07,F04118-3207,0<,0.22,0.07,0.0,0.0,0.0,1.97
F04191-1855,138.5,11.51,F04191-1855,2=,2.59,0.05,9814.0,84.5,145.1,1.53
F04271+3849,80.8,11.11,F04271+3849,0<,0.20,0.07,0.0,0.0,0.0,1.83
F04315-0840,67.8,11.65,F04315-0840,1=,0.46,0.05,4735.0,181.6,208.5,1.61
F04326+1904,106.0,11.41,F04326+1904,1=,20.53,0.11,7409.0,557.9,659.7,1.90
F04502-3304,81.3,11.17,F04502-3304,0<,0.28,0.09,0.0,0.0,0.0,2.56
F05053-0805,63.4,11.04,F05053-0805,1=,1.95,0.09,4463.0,356.5,383.6,1.96
F05054+1718,77.9,11.22,F05054+1718,0<,0.20,0.07,0.0,0.0,0.0,1.85
F05081+7936,240.0,11.99,F05081+7936,2=,0.84,0.05,16217.0,325.8,606.0,1.04
F05083+2441,99.2,11.26,F05083+2441,1=,4.57,0.09,6906.0,277.6,386.8,1.95
F05129+5128,120.0,11.42,F05129+5128,1=,3.03,0.07,8320.0,328.6,395.4,1.53
F05187-1017,122.0,11.30,F05187-1017,2=,0.25,0.05,8405.0,78.9,154.1,1.60
F05189-2524,187.0,12.16,F05189-2524,0<,0.14,0.05,0.0,0.0,0.0,1.26
F05223+1908,128.0,11.65,F05223+1908,1=,0.87,0.04,8858.0,95.2,122.7,1.35
F05365+6921,59.0,11.06,F05365+6921,1=,66.90,0.16,3933.0,671.1,711.9,2.51
F05368+4940,83.7,11.46,F05368+4940,1=,3.09,0.06,5765.0,106.2,132.2,2.25
F05414+5840,65.8,11.28,F05414+5840,1=,6.49,0.11,4473.0,461.8,500.2,2.09
F05442+1732,80.5,11.30,F05442+1732,2=,6.31,0.07,5582.0,121.1,192.7,1.81
F06052+8027,59.7,11.10,F06052+8027,1=,19.57,0.11,3899.0,529.1,588.9,1.96
F06076-2139,165.0,11.65,F06076-2139,0<,0.14,0.05,0.0,0.0,0.0,1.25
F06107+7822,17.5,11.12,F06107+7822,1=,56.39,0.14,906.0,464.5,510.3,2.67
F06295-1735,93.6,11.25,F06295-1735,2=,8.24,0.11,6373.0,200.1,448.8,2.15
F06538+4628,94.3,11.34,F06538+4628,2=,4.93,0.10,6526.0,122.5,269.3,2.22
F07063+2043,78.0,11.31,F07063+2043,2=,15.77,0.13,5206.0,189.8,363.5,2.40
F07251-0248,400.0,12.39,F07251-0248,0<,0.48,0.16,0.0,0.0,0.0,4.32
F07256+3355,62.1,11.28,F07256+3355,1=,14.14,0.07,4015.0,408.6,523.2,1.39
F07329+1149,72.8,11.13,F07329+1149,1=,12.04,0.10,4986.0,307.0,375.2,2.13
F08339+6517,86.3,11.11,F08339+6517,1=,5.59,0.08,5794.0,215.0,328.4,1.93
F08354+2555,84.1,11.60,F08354+2555,5>,1.11,0.05,5544.0,112.8,132.1,1.90
F08424-3130,74.4,11.08,F08424-3130,2=,2.91,0.10,4888.0,179.0,280.3,2.49
F08572+3915,264.0,12.16,F08572+3915,0<,0.12,0.04,0.0,0.0,0.0,1.08
F09111-1007,246.0,12.06,F09111-1007,1=,2.22,0.08,16347.0,267.1,653.5,1.46
F09126+4432,178.0,11.74,F09126+4432,1=,1.91,0.06,11954.0,285.8,345.8,1.53
F09320+6134,177.0,12.01,F09320+6134,4=,-1.31,0.05,11941.0,334.4,395.3,1.06
F09333+4841,117.0,11.34,F09333+4841,1=,6.41,0.09,7705.0,488.1,547.3,1.75
F09437+0317,92.9,11.23,F09437+0317,1=,12.90,0.10,5994.0,468.2,524.9,1.97
F10015-0614,79.5,11.37,F10015-0614,1=,12.77,0.10,5080.0,412.1,462.1,1.98
F10038-3338,156.0,11.78,F10038-3338,2=,4.03,0.07,10260.0,189.3,321.2,1.45
F10173+0828,224.0,11.86,F10173+0828,0<,0.14,0.05,0.0,0.0,0.0,1.24
F10196+2149,65.7,11.09,F10196+2149,1=,29.85,0.12,4096.0,521.6,596.1,2.13
F10565+2448,197.0,12.08,F10565+2448,4=,-0.72,0.05,12919.0,141.0,202.7,1.41
F11011+4107,158.0,11.62,F11011+4107,1=,0.79,0.05,10712.0,113.0,216.7,1.41
F11186-0242,117.0,11.43,F11186-0242,1=,3.63,0.07,7424.0,185.3,333.7,1.50
F11231+1456,157.0,11.64,F11231+1456,1=,2.32,0.06,10236.0,389.5,439.1,1.22
F11257+5850,50.7,11.93,F11257+5850,5>,1.90,0.13,3121.0,485.0,560.5,2.37
F12043-3140,112.0,11.43,F12043-3140,1=,1.73,0.06,6928.0,278.0,364.4,1.34
F12112+0305,340.0,12.36,F12112+0305,4=,-0.67,0.04,21778.0,211.5,390.8,1.11
F12116+5448,43.0,11.10,F12116+5448,2=,5.74,0.08,2507.0,99.0,160.3,2.15
F12224-0624,125.0,11.36,F12224-0624,0<,0.14,0.05,0.0,0.0,0.0,1.24
F12243-0036,36.5,11.19,F12243-0036,2=,3.20,0.07,2193.0,86.7,129.7,2.17
F12540+5708,192.0,12.57,F12540+5708,3=,-3.03,0.04,12641.0,178.8,263.3,0.99
F12590+2934,111.0,11.38,F12590+2934,0<,0.14,0.05,0.0,0.0,0.0,1.27
F12592+0436,175.0,11.68,F12592+0436,1=,3.71,0.06,11217.0,206.7,351.7,1.37
F12596-1529,78.7,11.17,F12596-1529,1=,12.97,0.10,4819.0,322.4,456.8,2.01
F13001-2339,106.0,11.56,F13001-2339,4=,-2.09,0.07,6529.0,186.7,334.0,1.66
F13097-1531,44.8,10.84,F13097-1531,1=,2.82,0.10,2947.0,59.9,133.8,2.59
F13126+2453,56.8,11.14,F13126+2453,3=,-1.16,0.07,3898.0,151.5,226.8,1.59
F13136+6223,142.0,11.81,F13136+6223,1=,2.33,0.06,9363.0,365.6,508.1,1.45
F13182+3424,110.0,11.73,F13182+3424,4=,-1.36,0.05,6921.0,244.4,267.3,0.99
F13188+0036,90.8,11.27,F13188+0036,1=,5.51,0.10,5562.0,422.3,473.6,2.10
F13197-1627,82.2,11.28,F13197-1627,2=,0.80,0.07,5010.0,202.1,372.5,1.70
F13229-2934,60.9,11.30,F13229-2934,1=,7.71,0.09,4097.0,127.2,169.8,2.61
F13301-2356,82.4,11.15,F13301-2356,1=,4.72,0.11,4888.0,249.4,427.8,2.41
F13362+4831,129.0,11.56,F13362+4831,0<,0.16,0.05,0.0,0.0,0.0,1.47
F13373+0105,108.5,11.62,F13373+0105,1=,12.50,0.10,6798.0,473.6,524.5,2.03
F13428+5608,173.0,12.21,F13428+5608,4=,-5.23,0.06,11296.0,561.4,629.0,1.02
F13470+3530,81.4,11.15,F13470+3530,1=,12.92,0.10,5027.0,434.1,479.5,1.94
F13497+0220,155.0,11.66,F13497+0220,1=,6.57,0.08,9916.0,435.5,550.9,1.45
F13564+3741,58.7,11.08,F13564+3741,1=,19.55,0.12,3472.0,543.2,636.6,2.13
F14179+4927,120.0,11.39,F14179+4927,1=,0.36,0.03,7688.0,105.8,365.0,0.72
F14280+3126,60.2,11.13,F14280+3126,1=,4.52,0.08,3574.0,300.6,374.2,1.83
F14348-1447,387.0,12.39,F14348-1447,0<,0.15,0.05,0.0,0.0,0.0,1.33
F14423-2039,67.1,11.15,F14423-2039,1=,17.96,0.13,4095.0,458.6,608.9,2.40
F14547+2449,157.0,11.74,F14547+2449,1=,7.52,0.09,10007.0,429.9,533.8,1.72
F15107+0724,65.4,11.35,F15107+0724,3=,-2.04,0.05,3899.0,125.2,219.4,1.34
F15163+4255,183.0,11.92,F15163+4255,2=,0.66,0.04,12152.0,284.3,387.4,0.74
F15250+3608,254.0,12.08,F15250+3608,4=,-0.50,0.04,16653.0,356.1,425.6,0.95
F15276+1309,67.1,11.14,F15276+1309,1=,5.20,0.07,4012.0,193.1,220.6,1.97
F15327+2340,87.9,12.28,F15327+2340,4=,-21.47,0.10,5432.0,324.6,558.9,1.69
F15437+0234,64.4,11.13,F15437+0234,2=,4.32,0.06,3884.0,100.2,279.4,1.42
F16030+2040,77.6,11.09,F16030+2040,1=,10.20,0.10,4753.0,358.7,446.2,2.06
F16104+5235,137.0,11.58,F16104+5235,1=,6.69,0.06,8905.0,223.7,383.5,1.39
F16164-0746,128.0,11.62,F16164-0746,0<,0.18,0.06,0.0,0.0,0.0,1.64
F16284+0411,116.0,11.45,F16284+0411,1=,2.40,0.07,7405.0,190.7,272.4,1.69
F16399-0937,128.0,11.63,F16399-0937,1=,2.84,0.09,8046.0,151.4,370.6,2.01
F16443-2915,100.0,11.37,F16443-2915,1=,5.64,0.10,6338.0,140.2,279.7,2.62
F16504+0228,116.0,11.93,F16504+0228,3=,-7.51,0.15,7294.0,266.5,491.2,2.27
F16516-0948,107.0,11.31,F16516-0948,1=,8.83,0.08,6856.0,310.8,423.4,1.54
F16577+5900,85.7,11.37,F16577+5900,5>,4.78,0.09,5592.0,717.6,917.7,1.52
F17132+5313,232.0,11.96,F17132+5313,1=,2.35,0.05,15276.0,416.1,549.0,1.01
F17138-1017,84.0,11.49,F17138-1017,2=,4.08,0.09,5167.0,151.6,237.4,2.13
