SOURCE,HOWELL_NAME,Mstar(MS),IR/UV,log(LIR),RA,Dec,VEL(km/s),EXP.TIME(s),Diana(K*km/s)
F00073+2538,NGC0023,1.59E+011,19.2,11.12,00:09:53.40,25:55:25,4566,1375.92,14.8200
F00085-1223,NGC0034,1.10E+011,31.2,11.49,00:11:06.60,-12:06:26,5879,1375.92,8.8600
F00163-1039,Arp256,1.80E+011,7.6,11.48,00:18:50.40,-10:22:08,8139,2149.72,8.9300
F00344-3349,ESO350-IG038,4.63E+010,7.2,11.28,00:36:52.50,-33:33:19.00,6173,3669.11,0.7300
F00402-2349,NGC0232,1.94E+011,108.7,11.44,00:42:45.80,-23:33:40,6646,2751.84,5.4200
F00506+7248,MCG+12-02-001,8.10E+010,2348.3,11.5,00:54:03.60,73:05:11,4704,1376.49,10.6100
F00548+4331,NGC0317B,1.16E+011,63,11.19,00:57:40.50,43:47:32,5426,1376.49,14.6200
F01053-1746,IC1623,1.62E+011,11.2,11.71,01:07:47.20,-17:30:25,6014,2751.83,28.8500
F01076-1707,MCG-03-04-014,1.64E+011,52.5,11.65,01:10:09.00,-16:51:09,10040,2598.89,-0.0800
F01173+1405,CGCG436-030,7.12E+010,31.3,11.69,01:20:02.70,+14:21:42,9360,2512.96,0.0000
F01364-1042,IRASF01364-1042,4.33E+010,247.6,11.85,01:38:52.90,-10:27:11,14462,2063.88,-0.0100
F01484+2220,NGC0695,2.01E+011,37.1,11.68,01:51:14.20,+22:34:56,9734,3286.85,0.0100
F01519+3640,UGC01385,6.05E+010,166.2,11.05,01:54:53.80,36:55:04,5621,2069.15,2.9000
F02152+1418,NGC0877,1.61E+011,13.5,11.1,02:17:59.60,+14:32:38,3912,1375.92,67.4800
F02203+3158,MCG+05-06-036,2.88E+011,63,11.64,02:23:22.00,32:11:49,10106,5504.84,1.8100
F02281-0309,NGC0958,2.79E+011,16.3,11.2,02:30:42.80,-02:56:20,5738,2063.78,49.0700
F02318-0441,NGC7592,1.13E+011,11.4,11.4,23:18:22.20,-04:25:00,7327,2398.06,5.3500
F02401-0013,NGC1068,1.44E+011,30.9,11.4,02:42:40.70,-00:00:47,1136,1375.92,29.9900
F02435+1253,UGC02238,8.71E+010,764.9,11.33,02:46:17.50,+13:05:44,6559,2293.19,16.5100
F03164+4119,NGC1275,4.29E+011,16.4,11.26,03:19:48.20,41:30:42,,,
F03359+1523,IRASF03359+1523,5.56E+010,123.2,11.55,03:38:46.70,+15:32:54,10613,8255.5,-1.0000
F03514+1546,CGCG465-012,1.17E+011,139.2,11.2,03:54:16.10,+15:55:43,6661,1375.66,7.8700
F04097+0525,UGC02982,8.57E+010,102,11.2,04:12:22.40,05:32:50,5303,1375.92,18.9800
F04191-1855,ESO550-IG025,1.14E+011,54.3,11.51,04:21:20.00,-18:48:47,9650,1605.24,9.6000
F04502-3304,MCG-05-12-006,4.39E+010,65.9,11.17,04:52:04.96,-32:59:25.60,5621,1375.91,0.0100
F05054+1718,CGCG468-002,8.37E+010,396.5,11.22,05:08:20.50,+17:21:57,5453,2751.48,-0.0100
05083+2441,IRAS05083+2441,7.86E+010,581.5,11.26,05:11:25.90,24:45:18,6913,1375.92,7.1000
05129+5128,IRAS05129+5128,5.07E+010,288.1,11.42,05:16:56.10,51:31:56,8223,2561.81,5.6500
F05189-2524,IRASF05189-2524,3.19E+011,266.5,12.16,05:21:01.47,-25:21:45.40,12759,2751.83,0.0200
F05365+6921,NGC1961,3.92E+011,10.6,11.06,05:42:04.60,69:22:42,3933,1376.21,115.8300
F06052+8027,UGC03410,1.23E+011,52.3,11.1,06:14:29.60,80:26:59,3918,1376.49,28.3800
F06107+7822,NGC2146,6.41E+010,215.2,11.12,06:18:37.70,78:21:25,890,1376.49,98.7600
07063+2043,NGC2342,1.97E+011,12.2,11.31,07:09:18.10,+20:38:09,5273,1376.25,25.9800
F07256+3355,NGC2388,1.43E+011,17.3,11.28,07:28:53.40,33:49:08,4134,2752.13,27.7500
F07329+1149,MCG+02-20-003,8.22E+010,22,11.13,07:35:43.40,11:42:33,4872,1375.36,21.2300
F08354+2555,NGC2623,6.42E+010,95.6,11.6,08:38:24.10,25:45:16,5546,1375.92,1.0400
F08572+3915,IRASF08572+3915,6.38E+011,115.1,12.16,09:00:25.40,39:03:54,17493,2752.44,-0.0500
