name,int_time,S_HISign,S_HI,S_HIErr,HI_Vel,HI_VelErr,W50,W50Err,W20,W20Err,CFDSign,CFD,CFDErr,CPSSign,CPS,CRMS,MassSign,Log(M_HI),LogM_HIErr,ProfileCode
F00073+2538,65.2,,9.04,0.91,4567.,6.,381.4,11.5,453.1,11.5,<,0.195,0.065,,29.18,1.95,,9.94,0.04,EM_NG
F00085-1223,84.1,,4.48,0.46,5881.,20.,292.6,54.2,432.4,40.7,<,0.195,0.065,,21.01,2.08,,9.86,0.04,EM_NG
F00163-1039,117.5,,5.95,0.60,8143.,5.,257.6,8.8,309.5,9.5,,0.951,0.115,,32.08,1.96,,10.26,0.04,EM_NG
F00344-3349,89.0,,0.13,0.06,6238.,25.,90.6,12.6,147.9,35.3,<,0.195,0.065,,8.69,1.63,,8.37,0.18,EM_G
F00402-2349,95.2,,2.01,0.21,6762.,19.,255.3,20.5,329.6,37.3,<,0.195,0.065,,11.29,1.68,,9.61,0.05,EM_NG
F00506+7248,69.8,,6.13,0.62,4781.,7.,311.5,14.2,386.2,14.2,<,0.195,0.065,,24.04,1.88,,9.83,0.04,EM_NG
F00548+4331,77.8,,7.46,0.76,5284.,23.,301.7,46.3,451.7,46.3,<,0.195,0.065,,32.87,2.81,,10.01,0.04,EM_NG
F01053-1746,85.5,,12.44,1.36,6163.,60.,548.0,323.5,710.8,119.4,,0.302,0.072,,35.62,9.15,,10.31,0.05,EM_NG
F01076-1707,144.0,<,0.16,0.05,0.,5.,0.0,5.0,0.0,5.0,<,0.195,0.065,<,4.38,1.46,<,8.90,0.14,NoDet
F01173+1405,134.0,,1.33,0.14,9428.,9.,108.8,18.9,194.4,18.9,<,0.195,0.065,,12.42,1.04,,9.72,0.05,EM_NG
F01364-1042,210.0,<,0.10,0.03,0.,5.,0.0,5.0,0.0,5.0,<,0.195,0.065,<,2.85,0.95,<,9.04,0.14,NoDet
F01417+1651,119.0,,2.09,0.21,8219.,5.,177.4,10.0,232.1,10.0,<,0.195,0.065,,14.08,1.01,,9.82,0.04,EM_NG
F01484+2220,139.0,,4.58,0.46,9828.,10.,239.5,19.0,390.7,19.0,<,0.195,0.065,,24.01,1.07,,10.29,0.04,EM_NG
F01519+3640,79.8,,3.12,0.32,5609.,9.,209.1,15.3,294.0,18.3,<,0.195,0.065,,18.35,1.37,,9.65,0.04,EM_NG
F02070+3857,76.3,,9.79,0.98,5373.,5.,384.7,9.5,451.6,9.5,<,0.195,0.065,,34.59,1.84,,10.11,0.04,EM_NG
F02071-1023,53.8,,20.06,2.01,3843.,5.,238.9,5.0,325.2,5.0,<,0.195,0.065,,90.44,1.74,,10.13,0.04,EM_NG
F02114+0456,129.0,,0.33,0.06,9235.,14.,147.0,27.6,225.1,27.6,<,0.195,0.065,,17.52,1.37,,9.09,0.07,EM_NG
F02152+1418,54.6,,41.36,4.14,3876.,5.,411.4,5.3,506.6,5.3,<,0.195,0.065,,111.37,2.59,,10.45,0.04,EM_NG
F02203+3158,145.0,,1.54,0.17,10081.,27.,206.0,78.8,307.6,53.5,<,0.195,0.065,,9.24,1.67,,9.85,0.05,EM_NG
F02208+4744,67.0,,4.18,0.43,4632.,7.,177.9,5.0,280.4,21.8,<,0.195,0.065,,24.83,2.15,,9.63,0.04,EM_G
F02281-0309,80.6,,30.03,3.01,5744.,5.,567.3,5.0,622.3,5.0,<,0.195,0.065,,81.53,2.76,,10.65,0.04,EM_NG
F02345+2053,58.0,,16.87,1.69,4144.,5.,261.4,7.4,336.6,5.0,<,0.195,0.065,,75.56,2.03,,10.11,0.04,EM_NG
F02401-0013,15.9,,22.58,2.28,1131.,5.,254.1,10.1,307.5,10.1,,5.093,0.513,,112.99,8.00,,9.13,0.04,EM_NG
F02435+1253,92.4,,10.79,1.08,6437.,10.,67.0,16.7,359.3,20.4,<,0.195,0.065,,73.06,1.74,,10.32,0.04,EM_NG
F02437+2122,98.8,>,1.59,0.17,7022.,18.,265.4,34.9,356.8,35.0,<,0.195,0.065,,8.67,1.04,>,9.54,0.05,EM_ABS
F02512+1446,136.0,,0.30,0.07,9278.,35.,106.1,12.6,214.5,100.8,<,0.195,0.065,,4.49,1.61,,9.09,0.10,EM_G
F03117+4151,100.0,,2.67,0.27,6997.,6.,280.7,11.7,331.2,12.0,<,0.195,0.065,,13.75,1.27,,9.78,0.04,EM_NG
F03217+4022,100.0,,0.38,0.05,6985.,13.,75.3,6.0,126.3,27.8,<,0.195,0.065,,6.37,1.24,,8.93,0.06,EM_G
F03359+1523,152.0,,-0.82,0.10,10746.,41.,154.4,11.3,257.5,67.8,<,0.195,0.065,,-1.83,1.06,,-0.00,-0.00,ABS_G
F03514+1546,94.3,,4.92,0.50,6629.,5.,207.4,5.5,239.8,5.5,<,0.195,0.065,,30.14,1.97,,9.99,0.04,EM_NG
03582+6012,131.0,,2.68,0.28,8865.,18.,201.1,7.2,360.4,51.0,,0.222,0.069,,14.43,1.55,,10.01,0.04,EM_G
F04097+0525,74.9,,11.84,1.19,5316.,5.,369.0,6.4,413.7,6.4,<,0.195,0.065,,44.29,2.38,,10.18,0.04,EM_NG
F04118-3207,51.0,<,0.22,0.07,0.,5.,0.0,5.0,0.0,5.0,<,0.195,0.065,<,5.91,1.97,<,8.12,0.14,NoDet
